# userId: recommendations in (itemId, ranking score) pairs, where a correct recommendation is denoted by symbol *.
28777828: (4b6599d4f964a520f8f52ae3, 2.2869468), (4bddba94ffdec928b92ce6a1, 2.2555676), (51c7f7dd498e5c7b074e119c, 2.2422426), (4ac518d2f964a5203da720e3, 2.2391262), (4ac518e8f964a52075ab20e3, 2.235062), (4bdabd82c79cc92854897fe9, 2.2252429), (4ac518d1f964a520c3a620e3, 2.2173488), (4ad42aa6f964a5205de720e3, 2.2140887), (4adf14d0f964a520707721e3, 2.2097085), (4ca4b822554b236a30853148, 2.2096932)
162511952: (4ac518f6f964a52052af20e3, 3.4682503), (4c9c6a059c48236a1cb14dee, 3.4659688), (4ac518d2f964a52026a720e3, 3.430617), (4af47862f964a520d6f221e3, 3.4219785), (4ac518cef964a52021a620e3, 3.3956213), (4ac518cef964a520f8a520e3, 3.3898222), (4b1c0375f964a520b30024e3, 3.3653152), (4ac518eff964a52064ad20e3, 3.3618033), (4b114284f964a520657923e3, 3.352731), (4ac518d1f964a520c3a620e3, 3.350182)
20669549: (4b7e5255f964a52076e92fe3, 3.8437567), (4c9c6a059c48236a1cb14dee, 3.802764), (4ac518f6f964a52052af20e3, 3.7956345), (4ac518cef964a520f8a520e3, 3.7868822), (50714cc8e4b008c20de68d4b, 3.7782023), (4acbc300f964a52058c520e3, 3.770459), (4af47862f964a520d6f221e3, 3.770297), (4bcc08273740b7139c756365, 3.766438), (4b1c0375f964a520b30024e3, 3.7654347), (4ac518d2f964a52026a720e3, 3.761279)
138078717: (4c9c6a059c48236a1cb14dee, 5.161035), (4ac518cef964a52021a620e3, 5.1258984), (4af47862f964a520d6f221e3, 5.1173625), (4ac518f6f964a52052af20e3, 5.109701), (4b114284f964a520657923e3, 5.092104), (4ac518cef964a520f8a520e3, 5.0683055), (4ac518d3f964a52076a720e3, 5.055807), (4acbc300f964a52058c520e3, 5.0451503), (4ac518d2f964a52026a720e3, 5.0375977), (4ac518eff964a52064ad20e3, 5.023621)
139888796: (4c9c6a059c48236a1cb14dee, 5.041821), (4ac518f6f964a52052af20e3, 4.9928136), (4ac518d1f964a520c3a620e3, 4.9647684), (4b114284f964a520657923e3, 4.9486685), (4ac518cef964a52021a620e3, 4.948441), (4ac518d2f964a5203da720e3, 4.9203486), (4ac518d3f964a52076a720e3, 4.88298), (4c52b7a4b6dabe9a24d2bb13, 4.8714347), (4ac518eff964a52064ad20e3, 4.861143), (4bcc08273740b7139c756365, 4.855214)
20643835: (4b114284f964a520657923e3, 3.926819), (4c9c6a059c48236a1cb14dee, 3.9019928), (4ac518d2f964a5203da720e3, 3.8712075), (4ac518cef964a52021a620e3, 3.844186), (4ac518d3f964a52076a720e3, 3.832194), (4ac518d1f964a520c3a620e3, 3.8250246), (4c6ce8d923c1a1cd4bdf1acf, 3.8186002), (4bc0d7c84cdfc9b658969321, 3.8064573), (4ac518d2f964a52026a720e3, 3.8028047), (4af47862f964a520d6f221e3, 3.8004081)
23110179: (4ac518cef964a52021a620e3, 4.017344), (4c9c6a059c48236a1cb14dee, 3.994052), (4b114284f964a520657923e3, 3.9866366), (4ac518cef964a520f8a520e3, 3.983265), (4acbc300f964a52058c520e3, 3.9606276), (4ba6419bf964a520b23f39e3, 3.9601068), (4ac518d3f964a52076a720e3, 3.9592159), (4ac518f4f964a520fbae20e3, 3.9176948), (4af47862f964a520d6f221e3, 3.9093096), (4ac518d2f964a52026a720e3, 3.906618)
133443490: (4c9c6a059c48236a1cb14dee, 4.65696), (4ac518f6f964a52052af20e3, 4.5822287), (4c52b7a4b6dabe9a24d2bb13, 4.5462666), (4ac518d1f964a520c3a620e3, 4.535808), (4ac518cef964a52021a620e3, 4.529449), (4ac518d2f964a5203da720e3, 4.5056834), (4af47862f964a520d6f221e3, 4.4882855), (4ac518d1f964a520e0a620e3, 4.449169), (4e175b25183880768f35a7e5, 4.439014), (4ac518cef964a520f7a520e3, 4.4368258)
121683168: (4b114284f964a520657923e3, 5.0805006), (4ac518d3f964a52076a720e3, 5.0436716), (4c9c6a059c48236a1cb14dee, 5.029759), (4ac518cef964a52021a620e3, 5.0218506), (4ac518d2f964a5203da720e3, 5.020506), (4ac518d1f964a520c3a620e3, 5.0159926), (4bcc08273740b7139c756365, 4.998211), (4c6ce8d923c1a1cd4bdf1acf, 4.9422784), (4acbc300f964a52058c520e3, 4.935272), (4ac518cef964a520f8a520e3, 4.9153223)
35528090: (4c9c6a059c48236a1cb14dee*, 4.808593), (4b114284f964a520657923e3, 4.7928686), (4acbc300f964a52058c520e3, 4.779902), (4ac518d1f964a520c3a620e3, 4.7708406), (4bcc08273740b7139c756365, 4.7596607), (4ac518f6f964a52052af20e3, 4.7491655), (4ac518cef964a52021a620e3, 4.735381), (4ac518d2f964a52026a720e3, 4.722677), (4ac518d2f964a5203da720e3, 4.7138667), (4ac518cef964a520f8a520e3, 4.6982965)
21686958: (4c9c6a059c48236a1cb14dee, 4.3538523), (4ac518cef964a52021a620e3, 4.341244), (4b114284f964a520657923e3, 4.318556), (4ac518d1f964a520c3a620e3, 4.3161674), (4ac518d3f964a52076a720e3, 4.301665), (4ac518f6f964a52052af20e3, 4.2893133), (4acbc300f964a52058c520e3, 4.288309), (4bcc08273740b7139c756365, 4.2858357), (4ac518d2f964a5203da720e3, 4.282128), (4ac518eff964a52064ad20e3, 4.2685914)
