# userId: recommendations in (itemId, ranking score) pairs, where a correct recommendation is denoted by symbol *.
8493742: (4ac518cef964a52021a620e3, 4.844706), (4c9c6a059c48236a1cb14dee, 4.830157), (4af47862f964a520d6f221e3, 4.82243), (4acbc300f964a52058c520e3, 4.8031693), (4ac518eff964a52064ad20e3, 4.7467113), (4ac518d1f964a520c3a620e3, 4.717645), (4ac518d2f964a52026a720e3, 4.7054386), (506999663d7cfe42e733a9b3, 4.69789), (4bcc08273740b7139c756365, 4.686055), (4ac518f6f964a52052af20e3, 4.6735854)
162511952: (4ba6419bf964a520b23f39e3, 3.188167), (4ac518cef964a52021a620e3, 3.1743019), (4ac518d2f964a5203da720e3, 3.1673222), (4fa1bbbee4b058e27d7beab7, 3.1362486), (4c6ce8d923c1a1cd4bdf1acf, 3.123672), (4ac518d0f964a52095a620e3, 3.122998), (4b114284f964a520657923e3, 3.1150782), (4e4b9e2314958c3abfa956c7, 3.113955), (4af47862f964a520d6f221e3, 3.1131372), (4ac518f6f964a52052af20e3, 3.1089592)
18816105: (4ac518d2f964a52026a720e3, 5.3117385), (4af47862f964a520d6f221e3, 5.266921), (4c9c6a059c48236a1cb14dee, 5.2397203), (4bc0d7c84cdfc9b658969321, 5.2375855), (4b1290d5f964a520da8a23e3, 5.2206087), (4b114284f964a520657923e3, 5.2171054), (4ac518f6f964a52052af20e3, 5.197759), (4ac518d1f964a520c3a620e3, 5.195728), (4bcc08273740b7139c756365, 5.1875315), (4ac518cef964a52021a620e3, 5.178577)
18319254: (4c9c6a059c48236a1cb14dee, 6.1382585), (4ac518f6f964a52052af20e3, 6.112247), (4ac518d2f964a52026a720e3, 6.089009), (4af47862f964a520d6f221e3, 6.085008), (4ac518cef964a52021a620e3, 6.0652356), (4ac518d1f964a520c3a620e3, 6.0601983), (4bcc08273740b7139c756365, 6.0351815), (4ac518d3f964a52076a720e3, 6.033681), (4ac518eff964a52064ad20e3, 6.029966), (4bc0d7c84cdfc9b658969321, 6.0148983)
376938788: (4c6ce8d923c1a1cd4bdf1acf, 3.8903031), (4ac518b8f964a52081a120e3, 3.8697083), (4ac518f4f964a520fbae20e3, 3.8343873), (4ac518cef964a52021a620e3, 3.822674), (4ad42aa6f964a5205de720e3, 3.8221605), (4c9c6a059c48236a1cb14dee, 3.8186414), (4ac518cef964a520f8a520e3, 3.8052294), (4ac518d2f964a52026a720e3, 3.782531), (4ac518d3f964a52076a720e3, 3.7726192), (4acbc300f964a52058c520e3, 3.765995)
20735661: (4ac518c9f964a5209fa520e3, 2.555253), (4ba12171f964a520c29a37e3, 2.5537395), (4b8aaf57f964a520aa7932e3, 2.5315697), (4b5da672f964a520166529e3, 2.5314887), (4ba6419bf964a520b23f39e3, 2.5030916), (4bdd45a2645e0f47f3346b19, 2.4943907), (4ac518d7f964a52057a820e3, 2.485153), (4b77eb6ff964a520c4ae2ee3, 2.4745133), (52964dfc11d299f4231fd2d4, 2.473503), (4c56deb412f0d13a7bc105ad, 2.445115)
138078717: (4af47862f964a520d6f221e3, 5.405822), (4ac518d2f964a52026a720e3, 5.4039736), (4c9c6a059c48236a1cb14dee, 5.403422), (4ac518cef964a52021a620e3, 5.3610578), (4acbc300f964a52058c520e3, 5.348588), (4ac518f6f964a52052af20e3, 5.3429604), (4bcc08273740b7139c756365, 5.3159018), (4ac518d2f964a5203da720e3, 5.312746), (4ac518d3f964a52076a720e3, 5.310525), (4ac518eff964a52064ad20e3, 5.302483)
20643835: (4af47862f964a520d6f221e3, 3.74203), (4ac518d2f964a52026a720e3, 3.7190597), (4b1c0375f964a520b30024e3, 3.697992), (4ac518cef964a52021a620e3, 3.6947815), (4b4559bcf964a520190b26e3, 3.6610913), (4ac518d2f964a5203da720e3, 3.629982), (4ae811e5f964a5200cae21e3, 3.620777), (4c9c6a059c48236a1cb14dee, 3.6119018), (4c6ce8d923c1a1cd4bdf1acf, 3.6088018), (4b114284f964a520657923e3, 3.6069415)
95731884: (4acbc300f964a52058c520e3, 5.895877), (4b1c0375f964a520b30024e3, 5.888381), (4c9c6a059c48236a1cb14dee, 5.878421), (4af47862f964a520d6f221e3, 5.8679957), (4ac518cef964a52021a620e3, 5.84823), (4ac518f6f964a52052af20e3, 5.824994), (4ae811e5f964a5200cae21e3, 5.804096), (4ac518d1f964a520c3a620e3, 5.7986393), (4ac518eff964a52064ad20e3, 5.7964334), (4ac518d2f964a5203da720e3, 5.791327)
23110179: (4ac518d1f964a520c3a620e3, 4.231654), (4c9c6a059c48236a1cb14dee, 4.1721), (4ac518f6f964a52052af20e3, 4.1568627), (4bcc08273740b7139c756365, 4.1034017), (4d5ed23c149637047e12cf94, 4.099407), (4af9a82df964a520fd1222e3, 4.0967307), (4e175b25183880768f35a7e5, 4.093983), (4ac518cef964a520f8a520e3, 4.090534), (4af47862f964a520d6f221e3, 4.078977), (4b0bf426f964a5200e3523e3, 4.074155)
35528090: (4ac518cef964a520f8a520e3, 4.2619624), (4ac518cef964a52021a620e3, 4.2534494), (4c6ce8d923c1a1cd4bdf1acf, 4.2321033), (4b114284f964a520657923e3, 4.2307677), (4ac518d1f964a520c3a620e3, 4.2137475), (4ad42aa6f964a5205de720e3, 4.211023), (4bcc08273740b7139c756365, 4.2009196), (4ac518d3f964a52076a720e3, 4.197053), (4ac518d2f964a52026a720e3, 4.1959524), (4bc0d7c84cdfc9b658969321, 4.1903377)
