# userId: recommendations in (itemId, ranking score) pairs, where a correct recommendation is denoted by symbol *.
8493742: (505b0a96e4b0597d277e6444, 2.4944832), (4fe85037e4b0af2e68221581, 2.477498), (4ac518d3f964a5204da720e3, 2.4603496), (4d4c0732a22c224bbea4f593, 2.4534082), (4b5a4261f964a5202db828e3, 2.4142706), (4ac518b9f964a520baa120e3, 2.4108362), (4e4b9e2314958c3abfa956c7, 2.393445), (4ad44bb9f964a5208de720e3, 2.3846657), (50f5c2e0e4b06983cbcbb1fe, 2.3822045), (4ad36684f964a5202ce420e3, 2.3809252)
376938788: (4ac518f6f964a52052af20e3, 5.6804442), (4c6ce8d923c1a1cd4bdf1acf, 5.667043), (4ac518cef964a520f8a520e3, 5.6622963), (4c52b7a4b6dabe9a24d2bb13, 5.6540294), (4ac518d2f964a52026a720e3, 5.6516423), (4c9c6a059c48236a1cb14dee, 5.6506906), (4ac518f4f964a520fbae20e3, 5.610628), (4af47862f964a520d6f221e3, 5.6077986), (4ac518cef964a52021a620e3, 5.6024623), (4b114284f964a520657923e3, 5.586117)
20669549: (4ac518cef964a52021a620e3, 4.426581), (4acbc300f964a52058c520e3, 4.3990827), (4acaf933f964a52031c320e3, 4.3989778), (4af47862f964a520d6f221e3, 4.378468), (4d5ed23c149637047e12cf94, 4.373681), (4c9c6a059c48236a1cb14dee, 4.365781), (4ac518d1f964a520c3a620e3, 4.3566146), (4ac518f6f964a52052af20e3, 4.3401203), (4e4b9e2314958c3abfa956c7, 4.337638), (4ac518cef964a520f8a520e3, 4.320904)
138078717: (4bc0d7c84cdfc9b658969321, 4.2839704), (4ac518cef964a52021a620e3, 4.2555423), (4ac518eff964a52064ad20e3, 4.229886), (4ac518f4f964a520fbae20e3, 4.2063575), (4ac518cef964a520f8a520e3, 4.206019), (4c6ce8d923c1a1cd4bdf1acf, 4.2043133), (4c52b7a4b6dabe9a24d2bb13, 4.1920385), (4ac518f6f964a52052af20e3, 4.19139), (4ac518d2f964a5203da720e3, 4.164767), (4ac518d1f964a520c3a620e3, 4.1604505)
139888796: (4ac518f7f964a520c6af20e3, 5.02035), (4ac518f6f964a52052af20e3, 5.015396), (4c9c6a059c48236a1cb14dee, 5.0063825), (4b1c0375f964a520b30024e3, 4.9779863), (4e175b25183880768f35a7e5, 4.958979), (4ac518cef964a52021a620e3, 4.9554677), (4c6ce8d923c1a1cd4bdf1acf, 4.9518323), (4c52b7a4b6dabe9a24d2bb13, 4.951805), (4ac518cef964a520f8a520e3, 4.9486303), (4ac518d2f964a52026a720e3, 4.938262)
20643835: (4c6ce8d923c1a1cd4bdf1acf, 4.4796405), (4ac518cef964a520f8a520e3, 4.4728203), (4c52b7a4b6dabe9a24d2bb13, 4.440206), (4ac518d2f964a52026a720e3, 4.43955), (4c9c6a059c48236a1cb14dee, 4.432416), (4bc0d7c84cdfc9b658969321, 4.4293165), (4ac518f6f964a52052af20e3, 4.4166074), (4af47862f964a520d6f221e3, 4.390544), (505b0a96e4b0597d277e6444, 4.386399), (4b114284f964a520657923e3, 4.3700824)
95731884: (4c9c6a059c48236a1cb14dee, 4.975989), (4c52b7a4b6dabe9a24d2bb13, 4.938345), (4c6ce8d923c1a1cd4bdf1acf, 4.937066), (4ac518d2f964a52026a720e3, 4.926623), (4ac518f6f964a52052af20e3, 4.9186044), (4b1c0375f964a520b30024e3, 4.916121), (4af47862f964a520d6f221e3, 4.8920355), (4b114284f964a520657923e3, 4.889275), (4ac518d3f964a52076a720e3, 4.887186), (4ac518d1f964a520c3a620e3, 4.879189)
133443490: (4ac518f6f964a52052af20e3, 4.825085), (4c9c6a059c48236a1cb14dee, 4.719553), (4ac518d2f964a52026a720e3, 4.71497), (4af47862f964a520d6f221e3, 4.710299), (4ac518eff964a52064ad20e3*, 4.6985807), (4c52b7a4b6dabe9a24d2bb13, 4.691675), (4ac518cef964a52021a620e3, 4.6883516), (4ac518d2f964a5203da720e3, 4.6881623), (4b1c0375f964a520b30024e3, 4.6783895), (4ac518d3f964a52076a720e3, 4.6733174)
35528090: (4ac518f6f964a52052af20e3, 5.4198155), (4c52b7a4b6dabe9a24d2bb13, 5.350074), (4ac518f4f964a520fbae20e3, 5.340835), (4ac518d2f964a52026a720e3, 5.339277), (4ac518d3f964a52076a720e3, 5.303358), (4ac518eff964a52064ad20e3, 5.2908144), (4ac518cef964a52021a620e3, 5.2879906), (4ac518cef964a520f8a520e3, 5.286778), (4ac518d2f964a5203da720e3, 5.285211), (4c6ce8d923c1a1cd4bdf1acf, 5.2847633)
21686958: (4af47862f964a520d6f221e3, 3.487762), (4c9c6a059c48236a1cb14dee, 3.4866877), (4fe85037e4b0af2e68221581, 3.4814389), (4bcc08273740b7139c756365, 3.4528437), (4ac518d1f964a520c3a620e3, 3.4313004), (4ad42aa6f964a5205de720e3, 3.4278252), (4ac518d0f964a52097a620e3, 3.4166868), (4ac518cef964a52021a620e3, 3.4078996), (505b0a96e4b0597d277e6444, 3.4049282), (4c6ce8d923c1a1cd4bdf1acf, 3.4013255)
36435074: (4af47862f964a520d6f221e3, 5.524481), (4c9c6a059c48236a1cb14dee, 5.5041904), (4ac518cef964a52021a620e3, 5.502729), (4ac518f6f964a52052af20e3, 5.4593167), (4c6ce8d923c1a1cd4bdf1acf, 5.4194636), (4ac518d1f964a520c3a620e3, 5.4144173), (4bcc08273740b7139c756365, 5.4143124), (4b114284f964a520657923e3, 5.4097867), (4d5ed23c149637047e12cf94, 5.401497), (4acbc300f964a52058c520e3, 5.400877)
22815350: (4ac518cef964a520f8a520e3, 4.4032164), (4ac518d2f964a5203da720e3, 4.352879), (4ac518f6f964a52052af20e3, 4.3431134), (4ac518d2f964a52026a720e3, 4.33575), (4c9c6a059c48236a1cb14dee, 4.3238873), (4c52b7a4b6dabe9a24d2bb13, 4.3163595), (4c6ce8d923c1a1cd4bdf1acf, 4.3139973), (4ac518d1f964a520c3a620e3, 4.2932906), (4ac518d3f964a52076a720e3, 4.2836204), (4ac518f4f964a520fbae20e3, 4.2701426)
32710744: (4c9c6a059c48236a1cb14dee, 4.807169), (4ac518d3f964a52076a720e3, 4.796915), (4ac518f6f964a52052af20e3, 4.7802277), (4c52b7a4b6dabe9a24d2bb13, 4.7796793), (4ac518d2f964a52026a720e3, 4.772302), (4ac518f4f964a520fbae20e3, 4.770407), (4c6ce8d923c1a1cd4bdf1acf, 4.749733), (4ac518d1f964a520c3a620e3, 4.745464), (4ac518cef964a52021a620e3, 4.7189827), (4b114284f964a520657923e3, 4.707349)
181028932: (4c52b7a4b6dabe9a24d2bb13, 5.1833267), (4ac518f6f964a52052af20e3, 5.1827908), (4ac518d2f964a52026a720e3, 5.182349), (4c9c6a059c48236a1cb14dee, 5.1668816), (4c6ce8d923c1a1cd4bdf1acf, 5.138584), (4af47862f964a520d6f221e3, 5.126747), (4b1c0375f964a520b30024e3, 5.1099486), (4ac518d3f964a52076a720e3, 5.100726), (4af940dbf964a520331122e3, 5.0752983), (4ac518cef964a520f8a520e3, 5.0657864)
223424384: (4ad4ee47f964a520bafc20e3, 3.236658), (4ac518d2f964a5203da720e3, 3.1284456), (4ac518f6f964a52052af20e3, 3.105492), (4b5061def964a520cb2127e3, 3.081308), (4c52b7a4b6dabe9a24d2bb13, 3.0802915), (4ac518cef964a520f8a520e3, 3.079533), (4ac518d2f964a52026a720e3, 3.0781286), (4af47862f964a520d6f221e3, 3.072104), (4c9c6a059c48236a1cb14dee, 3.0719244), (4b1c0375f964a520b30024e3, 3.0662086)
221313006: (4ac518f6f964a52052af20e3, 4.639136), (4ae02185f964a5203f7e21e3, 4.6309896), (4ac518cef964a52021a620e3, 4.62879), (4ae811e5f964a5200cae21e3, 4.6249013), (4ac518f4f964a520fbae20e3, 4.6209354), (4af47862f964a520d6f221e3, 4.6201677), (4ac518cef964a520f8a520e3, 4.6149707), (4e4b9e2314958c3abfa956c7, 4.6110487), (4c9c6a059c48236a1cb14dee, 4.6091323), (4c6ce8d923c1a1cd4bdf1acf, 4.6037)
254707359: (4af47862f964a520d6f221e3, 3.1693459), (4c9c6a059c48236a1cb14dee, 3.0901368), (506999663d7cfe42e733a9b3, 3.0827632), (4acbc300f964a52058c520e3, 3.0468097), (4ac518cef964a52021a620e3, 3.045748), (4ac518cef964a520f8a520e3, 3.044787), (4ad42aa6f964a5205de720e3, 3.0392609), (52fbd54f498ec3d58b4b4679, 3.0358768), (4c6ce8d923c1a1cd4bdf1acf, 3.02562), (4b7a7122f964a520f62c2fe3, 3.020382)
102199088: (4c9c6a059c48236a1cb14dee, 5.182087), (4ac518f6f964a52052af20e3, 5.1725845), (4ac518cef964a52021a620e3, 5.1719317), (4c52b7a4b6dabe9a24d2bb13, 5.170714), (4ac518d1f964a520c3a620e3, 5.150673), (4af47862f964a520d6f221e3, 5.1429763), (4ac518d3f964a52076a720e3, 5.1340203), (4ac518d2f964a52026a720e3, 5.1224003), (4c6ce8d923c1a1cd4bdf1acf, 5.1159678), (4bc0d7c84cdfc9b658969321, 5.1089625)
71879096: (4e4b9e2314958c3abfa956c7, 3.503505), (4af47862f964a520d6f221e3, 3.4872186), (4c9c6a059c48236a1cb14dee, 3.4684596), (4b1c0375f964a520b30024e3, 3.4677484), (4ae811e5f964a5200cae21e3, 3.4580512), (4ac518d1f964a520e6a620e3, 3.4571857), (4ac518f6f964a52052af20e3, 3.4436307), (4bcc08273740b7139c756365, 3.441547), (4ac518f7f964a520c6af20e3, 3.432898), (4b114284f964a520657923e3, 3.4163043)
191811554: (4ac518eff964a52064ad20e3, 5.028019), (4c9c6a059c48236a1cb14dee, 5.0121226), (4ac518cef964a52021a620e3, 5.0005865), (4af47862f964a520d6f221e3, 4.9890585), (4ac518f6f964a52052af20e3, 4.967336), (4ac518d2f964a5203da720e3, 4.955969), (4bcc08273740b7139c756365, 4.9509373), (4ba6419bf964a520b23f39e3, 4.9363728), (4ac518d1f964a520c3a620e3, 4.932138), (4ac518d3f964a52076a720e3, 4.9297113)
148448733: (4c9c6a059c48236a1cb14dee, 5.2969556), (4ac518cef964a52021a620e3, 5.291456), (4ac518d2f964a5203da720e3, 5.2903214), (4c52b7a4b6dabe9a24d2bb13, 5.2742276), (4ac518f6f964a52052af20e3, 5.271831), (4ac518eff964a52064ad20e3, 5.2711473), (4ac518cef964a520f8a520e3, 5.2690687), (4ac518d1f964a520c3a620e3, 5.2621317), (4af47862f964a520d6f221e3, 5.2530775), (4bc0d7c84cdfc9b658969321, 5.250262)
1371390146: (4ac518f6f964a52052af20e3, 3.9679108), (4ac518d2f964a52026a720e3, 3.9489279), (4c9c6a059c48236a1cb14dee, 3.944907), (4ac518f0f964a520afad20e3, 3.9432523), (4c52b7a4b6dabe9a24d2bb13, 3.9410412), (4e4b9e2314958c3abfa956c7, 3.9370217), (4c6ce8d923c1a1cd4bdf1acf, 3.9318519), (4bf5197b98ac0f4761ac64a8, 3.9248223), (4ac518d3f964a52076a720e3, 3.9153435), (4ac518f4f964a520fbae20e3, 3.8896062)
236940151: (4af47862f964a520d6f221e3, 4.4999213), (4c9c6a059c48236a1cb14dee, 4.3812995), (4ac518f6f964a52052af20e3, 4.3451986), (4ad4ee47f964a520bafc20e3, 4.3278084), (4b1c0375f964a520b30024e3, 4.321425), (4ac518cef964a520f8a520e3, 4.314342), (4e4b9e2314958c3abfa956c7, 4.3109536), (4ac518cef964a52021a620e3, 4.3023233), (4acbc300f964a52058c520e3, 4.30055), (4c6ce8d923c1a1cd4bdf1acf, 4.28828)
