# userId: recommendations in (itemId, ranking score) pairs, where a correct recommendation is denoted by symbol *.
8493742: (4fb67af3e4b014d752c9b6c7, 2.720351), (4bed05629868a5937cdb5c46, 2.7105658), (4bad16def964a520792c3be3, 2.6947017), (4b0bf426f964a5200e3523e3, 2.6913936), (4ac518d3f964a52076a720e3, 2.674987), (4c6ce8d923c1a1cd4bdf1acf, 2.6475525), (4ac518cef964a52021a620e3, 2.6366), (4bcc08273740b7139c756365, 2.6343503), (4ac518d1f964a520e6a620e3, 2.6316679), (4ae8c18df964a52002b221e3, 2.6275773)
18816105: (4ac518cef964a52021a620e3, 4.1030064), (4c9c6a059c48236a1cb14dee, 4.062168), (4b1c0375f964a520b30024e3, 4.0325017), (4ac518d1f964a520c3a620e3, 4.000794), (4c6ce8d923c1a1cd4bdf1acf, 3.9992287), (4ac518f7f964a520c6af20e3, 3.9990113), (4ac518cef964a520f8a520e3, 3.9754903), (4acaf933f964a52031c320e3, 3.9703653), (4af47862f964a520d6f221e3, 3.9631727), (4c52b7a4b6dabe9a24d2bb13, 3.9587576)
18319254: (4ac518cef964a52021a620e3, 3.335783), (4b5a4261f964a5202db828e3, 3.282127), (4c52b7a4b6dabe9a24d2bb13, 3.281075), (4f180e24e4b0fc8452f7abee, 3.2653537), (4c9c6a059c48236a1cb14dee, 3.2396917), (4ac518cef964a520f8a520e3, 3.2338593), (4aeca7bbf964a520f8c921e3, 3.230341), (4acbc300f964a52058c520e3, 3.2286978), (4b1c0375f964a520b30024e3, 3.2258139), (4b7daaeff964a52075cd2fe3, 3.1988187)
376938788: (4ac518f4f964a520fbae20e3, 4.4262486), (4ac518b8f964a52081a120e3, 4.3233547), (4ac518cef964a520f8a520e3, 4.3074355), (4ac518d1f964a520c3a620e3, 4.30703), (4acbc300f964a52058c520e3, 4.2866864), (4c9c6a059c48236a1cb14dee, 4.2575936), (4c6ce8d923c1a1cd4bdf1acf, 4.2534866), (4d5ed23c149637047e12cf94, 4.243004), (4ac518cef964a52021a620e3, 4.238459), (513f8bb3e4b0f8e5e8926a98, 4.238426)
20735661: (4ac518b8f964a52081a120e3, 4.052373), (4ac518d1f964a520c3a620e3, 3.937108), (4ac518cef964a520f8a520e3, 3.892583), (4ad57f7ef964a520110321e3, 3.8786495), (4ac518cef964a52021a620e3, 3.8671458), (4d5ed23c149637047e12cf94, 3.8646655), (4acbc300f964a52058c520e3, 3.8636575), (4c52b7a4b6dabe9a24d2bb13, 3.859193), (4ac518f6f964a52052af20e3, 3.8334577), (4ad42aa6f964a5205de720e3, 3.8287618)
138078717: (4ac518d2f964a52026a720e3, 4.173725), (4af47862f964a520d6f221e3, 4.1677322), (4c9c6a059c48236a1cb14dee, 4.1571565), (4ac518cef964a52021a620e3, 4.151733), (4ae811e5f964a5200cae21e3, 4.139447), (4ac518eff964a52064ad20e3, 4.1229043), (4ac518d0f964a52095a620e3, 4.090287), (4b114284f964a520657923e3, 4.0761704), (4b77eb6ff964a520c4ae2ee3, 4.075802), (4b1c0375f964a520b30024e3, 4.067606)
20643835: (4af47862f964a520d6f221e3, 5.331541), (4ac518cef964a52021a620e3, 5.319815), (4c9c6a059c48236a1cb14dee, 5.2846556), (4ac518d2f964a5203da720e3, 5.2759275), (4ac518d1f964a520c3a620e3, 5.2701263), (4ac518d2f964a52026a720e3, 5.257422), (4ac518d3f964a52076a720e3, 5.2563014), (4ac518f6f964a52052af20e3, 5.2535114), (4c6ce8d923c1a1cd4bdf1acf, 5.2357655), (4ac518eff964a52064ad20e3, 5.2224965)
23110179: (4c9c6a059c48236a1cb14dee, 5.5234675), (4ac518f7f964a520c6af20e3, 5.4344797), (4af47862f964a520d6f221e3, 5.431736), (4e175b25183880768f35a7e5, 5.4275846), (4ac518cef964a52021a620e3, 5.4221535), (4acbc300f964a52058c520e3, 5.4053483), (4b114284f964a520657923e3, 5.404133), (4ac518cef964a520f8a520e3, 5.3984723), (4ac518eff964a52064ad20e3, 5.371009), (4c6ce8d923c1a1cd4bdf1acf, 5.36971)
19592747: (4ac518d2f964a52026a720e3, 3.8821645), (4ac518f6f964a52052af20e3, 3.871135), (4c9c6a059c48236a1cb14dee, 3.8672578), (4ac518eff964a52064ad20e3, 3.8611221), (4af47862f964a520d6f221e3, 3.8507028), (4acbc300f964a52058c520e3, 3.8490427), (4ac518f6f964a52050af20e3, 3.8449793), (4ac518d3f964a52076a720e3, 3.8367696), (4ac518cef964a520f8a520e3, 3.8065326), (4ac518d1f964a520c3a620e3, 3.8042428)
133443490: (4c9c6a059c48236a1cb14dee, 4.2990003), (4ac518f4f964a520fbae20e3, 4.2681646), (4acbc300f964a52058c520e3, 4.262484), (4af47862f964a520d6f221e3, 4.25607), (4ac518cef964a520f8a520e3, 4.2417006), (4ac518cef964a52021a620e3, 4.2305126), (4ac518f6f964a52052af20e3, 4.2277546), (4c6ce8d923c1a1cd4bdf1acf, 4.2127824), (4ac518d3f964a5204da720e3, 4.210377), (4ba6419bf964a520b23f39e3, 4.202279)
121683168: (4ac518d2f964a52026a720e3, 4.137648), (4ac518cef964a52021a620e3, 4.12724), (4c9c6a059c48236a1cb14dee, 4.10078), (4ae811e5f964a5200cae21e3, 4.0743356), (4af47862f964a520d6f221e3, 4.07299), (4c6ce8d923c1a1cd4bdf1acf, 4.068124), (4bcc08273740b7139c756365, 4.055353), (4ac518d2f964a5203da720e3, 4.040184), (4ac518d3f964a52076a720e3, 4.0289993), (4ac518f7f964a520c6af20e3, 4.0270324)
35528090: (4ac518cef964a52021a620e3, 3.1910732), (4af47862f964a520d6f221e3, 3.1741765), (4c52b7a4b6dabe9a24d2bb13, 3.1584637), (4ac518f7f964a520c6af20e3, 3.1557143), (4ac518d1f964a520c3a620e3, 3.1526577), (4ac518cef964a520f8a520e3, 3.1405263), (4b1c0375f964a520b30024e3, 3.137401), (52d71ac611d2dae852a0be1f, 3.1179724), (4c6ce8d923c1a1cd4bdf1acf, 3.1161194), (4b0bf426f964a5200e3523e3, 3.1140296)
21686958: (4c9c6a059c48236a1cb14dee, 3.7918766), (4acbc300f964a52058c520e3, 3.787302), (4ac518f6f964a52052af20e3, 3.7565348), (4c6ce8d923c1a1cd4bdf1acf, 3.685675), (4ac518cef964a52021a620e3, 3.6835964), (4af47862f964a520d6f221e3, 3.6815364), (4ac518d3f964a52076a720e3, 3.6782591), (4ac518eff964a52064ad20e3, 3.6747773), (4ba6419bf964a520b23f39e3, 3.6691859), (4ac518f4f964a520fbae20e3, 3.6636746)
1469238920: (4ac518d1f964a520c3a620e3, 3.6021066), (4af47862f964a520d6f221e3, 3.584669), (4c9c6a059c48236a1cb14dee, 3.5829844), (4ac518eff964a52064ad20e3, 3.5724375), (4ac518cef964a52021a620e3, 3.5621178), (4ac518cef964a520f8a520e3, 3.5605805), (4ac518d2f964a5203da720e3, 3.547778), (4ac518f6f964a52052af20e3, 3.5460749), (4ac518d3f964a52076a720e3, 3.5379107), (4ac518d2f964a52026a720e3, 3.536779)
