# userId: recommendations in (itemId, ranking score) pairs, where a correct recommendation is denoted by symbol *.
8493742: (4c9c6a059c48236a1cb14dee, 3.7225897), (4ac518cef964a52021a620e3, 3.7094035), (4ac518d1f964a520c3a620e3, 3.7092156), (4ac518d3f964a52076a720e3, 3.6954863), (4ac518f7f964a520c6af20e3, 3.6910136), (4ba6419bf964a520b23f39e3, 3.6695054), (4bcc08273740b7139c756365, 3.6687024), (4ac518f6f964a52052af20e3, 3.6623354), (4acaf933f964a52031c320e3, 3.6463816), (4ac518d0f964a52095a620e3, 3.643559)
162511952: (4c9c6a059c48236a1cb14dee, 3.9594564), (4ac518d1f964a520c3a620e3, 3.9342961), (4ac518cef964a52021a620e3, 3.929807), (4ac518f6f964a52052af20e3, 3.8869355), (4ac518f7f964a520c6af20e3, 3.8778245), (4b1c0375f964a520b30024e3, 3.867395), (4ba6419bf964a520b23f39e3, 3.8606555), (4af47862f964a520d6f221e3, 3.840386), (52d71ac611d2dae852a0be1f, 3.8240347), (4b8146dbf964a520439d30e3, 3.8162744)
20669549: (4c9c6a059c48236a1cb14dee, 5.201127), (4ac518cef964a52021a620e3, 5.159996), (4ac518f6f964a52052af20e3, 5.1529555), (4b1c0375f964a520b30024e3, 5.1272087), (4af47862f964a520d6f221e3, 5.126179), (4ac518d2f964a5203da720e3, 5.108683), (4ac518d2f964a52026a720e3, 5.1059237), (4ac518f4f964a520fbae20e3, 5.1045923), (4ba6419bf964a520b23f39e3, 5.094948), (4ac518e8f964a52075ab20e3, 5.089542)
138078717: (4ac518cef964a52021a620e3, 4.5099363), (4ac518d2f964a5203da720e3, 4.470838), (4ac518eff964a52064ad20e3, 4.4637165), (4ac518d2f964a52026a720e3, 4.452793), (4b1c0375f964a520b30024e3, 4.443709), (4c9c6a059c48236a1cb14dee, 4.4391303), (4bcc08273740b7139c756365, 4.424732), (4ac518f6f964a52052af20e3, 4.4217725), (4ac518d3f964a52076a720e3, 4.419002), (4af47862f964a520d6f221e3, 4.4069858)
139888796: (4ac518cef964a52021a620e3, 4.080523), (4ac518d2f964a5203da720e3, 4.048595), (4ac518d2f964a52026a720e3, 4.0462155), (4c9c6a059c48236a1cb14dee, 4.0395374), (4bcc08273740b7139c756365, 4.027897), (4ac518eff964a52064ad20e3, 4.0141635), (4b1c0375f964a520b30024e3, 4.013889), (4ac518cef964a520f7a520e3, 4.0002403), (4d5ed23c149637047e12cf94, 3.9957378), (4ac518f6f964a52052af20e3, 3.994332)
95731884: (4ac518d1f964a520c3a620e3, 3.7647877), (4ad4ee47f964a520bafc20e3, 3.7428894), (4ac518cef964a52021a620e3, 3.72623), (4c9c6a059c48236a1cb14dee, 3.7189498), (4bcc08273740b7139c756365, 3.6972969), (4acaf933f964a52031c320e3, 3.6971178), (4ac518f7f964a520c6af20e3, 3.6898582), (4ac518d3f964a52076a720e3, 3.6754875), (4ac518d2f964a5203da720e3, 3.6708348), (4ac518f6f964a52052af20e3, 3.6680384)
19592747: (4ac518d2f964a5203da720e3, 4.326312), (4ac518cef964a520f7a520e3, 4.245129), (4ac518d2f964a52026a720e3, 4.230514), (4bcc08273740b7139c756365, 4.2176857), (4c9c6a059c48236a1cb14dee, 4.1911893), (4ac518d3f964a52076a720e3, 4.1777143), (4ac518f6f964a52052af20e3, 4.1754494), (4ba6419bf964a520b23f39e3, 4.1698346), (5127fae2e4b0d9d0f75da670, 4.1674547), (4af47862f964a520d6f221e3, 4.1668043)
35528090: (4ac518cef964a52021a620e3, 4.0858936), (4b1c0375f964a520b30024e3, 4.026183), (4ac518eff964a52064ad20e3, 4.0068464), (4bcc08273740b7139c756365, 3.994866), (4ac518d3f964a52076a720e3, 3.9943285), (4ac518d1f964a520c3a620e3, 3.9922493), (4ac518f6f964a52052af20e3, 3.9769378), (4af47862f964a520d6f221e3, 3.9758725), (4ba6419bf964a520b23f39e3, 3.951508), (4c52b7a4b6dabe9a24d2bb13, 3.9466553)
21686958: (4c9c6a059c48236a1cb14dee, 4.504744), (4ac518cef964a52021a620e3, 4.474924), (4ac518f6f964a52052af20e3, 4.4440784), (4ba6419bf964a520b23f39e3, 4.428511), (4ac518d1f964a520c3a620e3, 4.4251294), (4bcc08273740b7139c756365, 4.420527), (4b1c0375f964a520b30024e3, 4.4170265), (4ac518cef964a520f8a520e3, 4.368144), (4ac518d2f964a5203da720e3, 4.3674107), (4ac518eff964a52064ad20e3, 4.3665175)
1469238920: (4af47862f964a520d6f221e3, 4.000861), (4c9c6a059c48236a1cb14dee, 3.9876623), (4ac518cef964a52021a620e3, 3.9572048), (4ac518d2f964a52026a720e3, 3.9565694), (4ac518d2f964a5203da720e3, 3.9557595), (4bcc08273740b7139c756365, 3.9403398), (4acbc300f964a52058c520e3, 3.9364438), (4ba6419bf964a520b23f39e3, 3.9323857), (4d5ed23c149637047e12cf94, 3.9206846), (4ac518d3f964a52076a720e3, 3.913206)
36435074: (4c9c6a059c48236a1cb14dee, 4.750063), (4af47862f964a520d6f221e3, 4.727049), (4ac518d3f964a52076a720e3, 4.7164474), (4ac518cef964a52021a620e3, 4.7155633), (4ac518f6f964a52052af20e3, 4.6829467), (4bcc08273740b7139c756365, 4.681205), (4ac518d1f964a520c3a620e3, 4.6808887), (4ac518eff964a52064ad20e3, 4.6779695), (4c52b7a4b6dabe9a24d2bb13, 4.6723995), (4b1c0375f964a520b30024e3, 4.660876)
22815350: (4ae811e5f964a5200cae21e3, 4.4585524), (4d5ed23c149637047e12cf94, 4.4048643), (4c9c6a059c48236a1cb14dee, 4.400682), (4ac518cef964a52021a620e3, 4.399619), (4ac518d0f964a52095a620e3, 4.3966236), (4acaf933f964a52031c320e3, 4.3777413), (4ac518d2f964a52026a720e3, 4.36635), (4ac518d1f964a520c3a620e3, 4.3652277), (4ac518f6f964a52052af20e3, 4.3607883), (4ac518d2f964a5203da720e3, 4.3582788)
32710744: (4af47862f964a520d6f221e3, 5.3648653), (4ac518d3f964a52076a720e3, 5.350798), (4ac518eff964a52064ad20e3, 5.329736), (4ac518cef964a52021a620e3, 5.3153095), (4c9c6a059c48236a1cb14dee, 5.3113275), (4c52b7a4b6dabe9a24d2bb13, 5.291938), (4b114284f964a520657923e3, 5.2820106), (4bcc08273740b7139c756365, 5.278726), (4ac518f4f964a520fbae20e3, 5.263004), (4ac518d1f964a520c3a620e3, 5.262016)
181028932: (4ac518cef964a52021a620e3, 4.4878817), (4c9c6a059c48236a1cb14dee, 4.485096), (4ac518d2f964a52026a720e3, 4.4589643), (4b1c0375f964a520b30024e3, 4.4395905), (4af47862f964a520d6f221e3, 4.4326587), (4c6ce8d923c1a1cd4bdf1acf, 4.427299), (4ac518f7f964a520c6af20e3, 4.425999), (4acbc300f964a52058c520e3*, 4.4151134), (4ba6419bf964a520b23f39e3, 4.3951316), (4ac518d2f964a5203da720e3, 4.387925)
221313006: (4c9c6a059c48236a1cb14dee, 5.6011047), (4ac518cef964a52021a620e3, 5.57921), (4ac518f6f964a52052af20e3, 5.5152884), (4ac518d1f964a520c3a620e3, 5.5088997), (4b1c0375f964a520b30024e3, 5.497899), (4ba6419bf964a520b23f39e3, 5.471828), (4ac518d2f964a5203da720e3, 5.4329295), (4af47862f964a520d6f221e3, 5.419985), (4bcc08273740b7139c756365, 5.411453), (4ac518f4f964a520fbae20e3, 5.406095)
254707359: (4ac518d3f964a52076a720e3, 4.3246374), (4c9c6a059c48236a1cb14dee, 4.322858), (4bcc08273740b7139c756365, 4.310499), (4ac518cef964a52021a620e3, 4.2940145), (4ac518d1f964a520c3a620e3, 4.2687926), (4af47862f964a520d6f221e3, 4.241189), (4c52b7a4b6dabe9a24d2bb13, 4.238242), (4b1c0375f964a520b30024e3, 4.2351036), (4ac518eff964a52064ad20e3, 4.2240467), (4ba6419bf964a520b23f39e3, 4.2163033)
102199088: (4c9c6a059c48236a1cb14dee, 3.813901), (4ac518cef964a52021a620e3, 3.7892222), (4b1c0375f964a520b30024e3, 3.7407851), (4ba6419bf964a520b23f39e3, 3.7358792), (4ac518d1f964a520c3a620e3, 3.7300997), (4ac518f6f964a52052af20e3, 3.7117124), (4ac518f7f964a520c6af20e3, 3.6953194), (4ad42aa6f964a5205de720e3, 3.6887631), (4af47862f964a520d6f221e3, 3.6779733), (4ac518d2f964a52026a720e3, 3.675711)
191811554: (4ac518f6f964a52050af20e3, 4.4555774), (4ac518cef964a52021a620e3, 4.441047), (4c9c6a059c48236a1cb14dee, 4.426139), (4b114284f964a520657923e3, 4.417002), (4ac518d1f964a520c3a620e3, 4.4170003), (4ac518d2f964a52026a720e3, 4.4104257), (4ac518eff964a52064ad20e3, 4.404348), (4af47862f964a520d6f221e3, 4.380813), (4ac518f6f964a52052af20e3, 4.3803883), (4ac518ecf964a52075ac20e3, 4.3789415)
148448733: (4c9c6a059c48236a1cb14dee, 3.5227208), (4d5ed23c149637047e12cf94, 3.5027528), (4af47862f964a520d6f221e3, 3.4959545), (4ac518d2f964a52026a720e3, 3.4866164), (4ac518d1f964a520c3a620e3, 3.484221), (4ac518f6f964a52052af20e3, 3.4735699), (4ac518f7f964a520c6af20e3, 3.4561043), (4c6ce8d923c1a1cd4bdf1acf, 3.4546018), (4b114284f964a520657923e3, 3.4525545), (4ac518d2f964a5203da720e3, 3.4515147)
1371390146: (4ac518f6f964a52052af20e3, 4.42055), (4ac518cef964a52021a620e3, 4.415102), (4c9c6a059c48236a1cb14dee, 4.4149675), (4ac518d1f964a520c3a620e3, 4.400309), (4ac518d3f964a52076a720e3, 4.39311), (4bcc08273740b7139c756365, 4.386501), (4ac518eff964a52064ad20e3, 4.3833084), (4ac518d2f964a5203da720e3, 4.3778844), (4b1c0375f964a520b30024e3, 4.3517365), (4ba6419bf964a520b23f39e3, 4.3425345)
236940151: (4ac518cef964a52021a620e3, 3.7074614), (4c9c6a059c48236a1cb14dee, 3.6796937), (4b1c0375f964a520b30024e3, 3.6676497), (4af47862f964a520d6f221e3, 3.6654375), (4ea95d0b6d86765d4111781c, 3.6546483), (4ac518d3f964a52076a720e3, 3.6433454), (4acbc300f964a52058c520e3, 3.6404066), (4bcc08273740b7139c756365, 3.628463), (4ad42aa6f964a5205de720e3, 3.6097705), (4ac518eff964a52064ad20e3, 3.5986526)
24155494: (4ac518d3f964a52076a720e3, 3.5683284), (4bcc08273740b7139c756365, 3.542579), (51c7f7dd498e5c7b074e119c, 3.5412784), (4af47862f964a520d6f221e3, 3.5359824), (4c9c6a059c48236a1cb14dee, 3.4939709), (4ac518eff964a52064ad20e3, 3.4916062), (4c52b7a4b6dabe9a24d2bb13, 3.477585), (4c6ce8d923c1a1cd4bdf1acf, 3.4751678), (4b114284f964a520657923e3, 3.4694328), (4ac518ecf964a52072ac20e3, 3.463069)
20636705: (4c9c6a059c48236a1cb14dee, 3.8836884), (4f22df5ee4b0020c2d201e70, 3.8628852), (4bcc08273740b7139c756365, 3.8336382), (4af47862f964a520d6f221e3, 3.8093176), (4ba6419bf964a520b23f39e3, 3.792863), (4ac518cef964a52021a620e3, 3.7915218), (4e175b25183880768f35a7e5, 3.790035), (4ac518e8f964a52075ab20e3, 3.7836554), (4b8146dbf964a520439d30e3, 3.7827277), (4ac518d1f964a520c3a620e3, 3.7786443)
105214898: (513f8bb3e4b0f8e5e8926a98, 3.6365871), (4acbc300f964a52058c520e3, 3.6176307), (4fe85037e4b0af2e68221581, 3.6043236), (4ac518c8f964a5208ea520e3, 3.5906458), (4c9c6a059c48236a1cb14dee, 3.5151622), (4ac518cef964a52021a620e3, 3.5055432), (4b6016a3f964a52076d529e3, 3.499718), (4e805fb2dab41c952c505ffc, 3.4974296), (4c6ce8d923c1a1cd4bdf1acf, 3.4967277), (4e175b25183880768f35a7e5, 3.494164)
34379581: (4ac518cef964a52021a620e3, 4.573676), (4ac518d2f964a52026a720e3, 4.5655527), (506999663d7cfe42e733a9b3, 4.5491433), (4c9c6a059c48236a1cb14dee, 4.543959), (4c6ce8d923c1a1cd4bdf1acf, 4.542741), (4acbc300f964a52058c520e3, 4.5335956), (4b1c0375f964a520b30024e3, 4.5315633), (4ac518f4f964a520fbae20e3, 4.4939475), (513f8bb3e4b0f8e5e8926a98, 4.4882026), (4ac518d2f964a5203da720e3, 4.4878407)
188432437: (4ac518d3f964a52076a720e3, 3.6832733), (4c52b7a4b6dabe9a24d2bb13, 3.6646028), (4ac518cef964a520f8a520e3, 3.6612003), (4ac518d1f964a520c3a620e3, 3.6537726), (4bcc08273740b7139c756365, 3.614723), (4b62a4e8f964a520bb4d2ae3, 3.6054816), (4c9c6a059c48236a1cb14dee, 3.567679), (4ac518eff964a52064ad20e3, 3.5671668), (4ae811e5f964a5200cae21e3, 3.5667121), (4ac518f6f964a52052af20e3, 3.5459204)
