# userId: recommendations in (itemId, ranking score) pairs, where a correct recommendation is denoted by symbol *.
8493742: (52123cee11d230adda819de2, 1.4636254), (4c10d60581e976b0beb20feb, 1.4400724), (4bed5ad3e3562d7fc2dafef8, 1.4130609), (525e513211d2e56e6a24c4a4, 1.3903006), (4b4f946af964a520390c27e3, 1.3826104), (5242e7ca11d2a776d7f732a3, 1.3697739), (4b659fb9f964a520cff62ae3, 1.3656405), (4e956160cc21f49262864b9d, 1.3637177), (4bc8c10c6501c9b67ed54029, 1.3608147), (4c6fd33c34443704060c225f, 1.3576347)
28777828: (52123cee11d230adda819de2, 1.5050827), (4c10d60581e976b0beb20feb, 1.4832743), (4e956160cc21f49262864b9d, 1.418476), (51d09f10498e3b446a9670bd, 1.4130543), (532ff91a498eb70b757ed5bb, 1.4115412), (5242e7ca11d2a776d7f732a3, 1.4021196), (4dd7d0ef7d8b322663f8894e, 1.4007517), (4bed5ad3e3562d7fc2dafef8, 1.3967973), (4fb2dbd7e5e89f2415581f16, 1.3963464), (4bc8c10c6501c9b67ed54029, 1.3950241)
162511952: (52123cee11d230adda819de2, 1.4023199), (4c10d60581e976b0beb20feb, 1.3797449), (5242e7ca11d2a776d7f732a3, 1.3387091), (4e956160cc21f49262864b9d, 1.3314759), (532ff91a498eb70b757ed5bb, 1.3309816), (4fb2dbd7e5e89f2415581f16, 1.3095613), (4bed5ad3e3562d7fc2dafef8, 1.3082547), (525e513211d2e56e6a24c4a4, 1.3073937), (4b4f946af964a520390c27e3, 1.3056678), (51d09f10498e3b446a9670bd, 1.304424)
18816105: (52123cee11d230adda819de2, 1.4268463), (4c10d60581e976b0beb20feb, 1.4230853), (5242e7ca11d2a776d7f732a3, 1.3694198), (4bed5ad3e3562d7fc2dafef8, 1.3633802), (51d09f10498e3b446a9670bd, 1.358871), (4e956160cc21f49262864b9d, 1.3568419), (4dd7d0ef7d8b322663f8894e, 1.3460313), (525e513211d2e56e6a24c4a4, 1.3412441), (4f0ace0ad5fbcc4f3de92fa7, 1.3309945), (532ff91a498eb70b757ed5bb, 1.3290573)
18319254: (52123cee11d230adda819de2, 1.4879754), (4c10d60581e976b0beb20feb, 1.4878443), (525e513211d2e56e6a24c4a4, 1.416791), (4dd7d0ef7d8b322663f8894e, 1.4125175), (5242e7ca11d2a776d7f732a3, 1.3872244), (4bed5ad3e3562d7fc2dafef8, 1.3814807), (51d2ec61498ec9fafa07c34f, 1.3786724), (4e81d6fd5c5c305b36eb2814, 1.3765336), (532ff91a498eb70b757ed5bb, 1.3724716), (51d09f10498e3b446a9670bd, 1.3717456)
376938788: (4c6a82503bad2d7fb382b2ee, 1.1349311), (51d09f10498e3b446a9670bd, 1.1201683), (4ea7cfa10aaf6e05862d3cf5, 1.0982779), (4fa8f790e4b0396559447c83, 1.0934428), (4dd7d0ef7d8b322663f8894e, 1.0899117), (4f1c3ec5e4b0bf762a1125b4, 1.0899054), (4c10d60581e976b0beb20feb, 1.0870332), (4e956160cc21f49262864b9d, 1.0865697), (51d2ec61498ec9fafa07c34f, 1.0828581), (4f21c9eea17cfcccb571b164, 1.0812188)
20669549: (52123cee11d230adda819de2, 1.2506094), (525e513211d2e56e6a24c4a4, 1.247651), (50ec1424e4b0ef749e457b07, 1.2296983), (4bed5ad3e3562d7fc2dafef8, 1.228121), (5242e7ca11d2a776d7f732a3, 1.2280993), (4e7df0156c25f10ae8e09bbf, 1.2170395), (4e12bed118a84f0f031fcb75, 1.2145327), (4c10d60581e976b0beb20feb, 1.2005132), (4b4f946af964a520390c27e3, 1.1993046), (51dea567498e99493d5ce811, 1.1937612)
20735661: (52123cee11d230adda819de2, 1.3563919), (4c10d60581e976b0beb20feb, 1.3374232), (4e956160cc21f49262864b9d, 1.2877697), (4bc8c10c6501c9b67ed54029, 1.2866619), (4f0ace0ad5fbcc4f3de92fa7, 1.2862802), (4bed5ad3e3562d7fc2dafef8, 1.285825), (4b4f946af964a520390c27e3, 1.2851845), (5242e7ca11d2a776d7f732a3, 1.2840601), (4fb2dbd7e5e89f2415581f16, 1.2784777), (532ff91a498eb70b757ed5bb, 1.2748721)
138078717: (52123cee11d230adda819de2, 1.6589928), (4c10d60581e976b0beb20feb, 1.6498904), (4e81d6fd5c5c305b36eb2814, 1.5873578), (525e513211d2e56e6a24c4a4, 1.5823293), (51153dd3e4b0ce6dc4af1ad4, 1.5813771), (4dd7d0ef7d8b322663f8894e, 1.5790176), (4df11fe8813051e173a338ad, 1.5665771), (4be117970f03a593cc8618b4, 1.5648112), (4df71f19fa76511d004720f1, 1.5584887), (4b640ce6f964a520ee9c2ae3, 1.5556867)
139888796: (52123cee11d230adda819de2, 1.4548283), (4c10d60581e976b0beb20feb, 1.4276485), (4e956160cc21f49262864b9d, 1.39284), (4bed5ad3e3562d7fc2dafef8, 1.3623378), (5242e7ca11d2a776d7f732a3, 1.3608371), (4bc8c10c6501c9b67ed54029, 1.3606634), (532ff91a498eb70b757ed5bb, 1.3591577), (4f0ace0ad5fbcc4f3de92fa7, 1.3568615), (51d09f10498e3b446a9670bd, 1.3565725), (4b4f946af964a520390c27e3, 1.3540236)
20643835: (52123cee11d230adda819de2, 1.4876593), (4c10d60581e976b0beb20feb, 1.4829557), (4dd7d0ef7d8b322663f8894e, 1.4503387), (4f0ace0ad5fbcc4f3de92fa7, 1.4352146), (4e956160cc21f49262864b9d, 1.4230692), (4bc8c10c6501c9b67ed54029, 1.4196342), (5242e7ca11d2a776d7f732a3, 1.4006633), (4e761a40c65bb91db4a6d467, 1.4005533), (50f819e1e4b07102ad0e2e26, 1.386813), (532ff91a498eb70b757ed5bb, 1.381703)
