# userId: recommendations in (itemId, ranking score) pairs, where a correct recommendation is denoted by symbol *.
8493742: (4ac518cef964a52021a620e3, 3.1458592), (4acbc300f964a52058c520e3, 3.1032152), (4ac518d1f964a520c3a620e3, 3.097532), (4ac518f4f964a520fbae20e3, 3.094503), (4af47862f964a520d6f221e3, 3.0939934), (4ac518d3f964a52076a720e3, 3.092815), (4c9c6a059c48236a1cb14dee, 3.0760279), (4ac518cef964a520f8a520e3, 3.075741), (4ac518eff964a52064ad20e3, 3.0752726), (4b1c0375f964a520b30024e3, 3.0693936)
376938788: (4af47862f964a520d6f221e3, 4.0192614), (4ac518eff964a52064ad20e3, 3.9732661), (4c9c6a059c48236a1cb14dee, 3.973071), (4b1c0375f964a520b30024e3, 3.9630122), (4ba12171f964a520c29a37e3, 3.9304793), (4ac518cef964a520f8a520e3, 3.9293242), (4bcc08273740b7139c756365, 3.9254813), (4ac518e8f964a52075ab20e3, 3.9203043), (4ac518d3f964a52076a720e3, 3.915354), (4ac518d2f964a52026a720e3, 3.9136262)
20669549: (4c9c6a059c48236a1cb14dee, 5.577583), (4ac518d1f964a520c3a620e3, 5.5129128), (4ac518cef964a52021a620e3, 5.491415), (4b114284f964a520657923e3, 5.444963), (4ac518f6f964a52052af20e3, 5.4423246), (4af47862f964a520d6f221e3, 5.4252048), (4ac518cef964a520f8a520e3, 5.4247), (4ac518d3f964a52076a720e3, 5.41015), (4ac518d2f964a52026a720e3, 5.3850055), (4c6ce8d923c1a1cd4bdf1acf, 5.379165)
138078717: (4c9c6a059c48236a1cb14dee, 4.374831), (4ac518cef964a52021a620e3, 4.3626156), (4bcc08273740b7139c756365, 4.3468328), (4ac518f6f964a52052af20e3, 4.342805), (4af47862f964a520d6f221e3, 4.3152018), (4ac518d2f964a52026a720e3, 4.313845), (4ba6419bf964a520b23f39e3, 4.31376), (4ac518d1f964a520c3a620e3, 4.312783), (4c52b7a4b6dabe9a24d2bb13, 4.3088455), (4ac518d3f964a52076a720e3, 4.3071747)
139888796: (4ac518cef964a52021a620e3, 5.291778), (4c9c6a059c48236a1cb14dee, 5.2670417), (4ac518d1f964a520c3a620e3, 5.223421), (4ac518d2f964a52026a720e3, 5.2203016), (4ac518d3f964a52076a720e3, 5.2194605), (4ba6419bf964a520b23f39e3, 5.211114), (4b114284f964a520657923e3, 5.209679), (4bcc08273740b7139c756365, 5.209007), (4ac518cef964a520f8a520e3, 5.202041), (4af47862f964a520d6f221e3, 5.2012134)
95731884: (4ac518cef964a52021a620e3, 4.7650595), (4b1c0375f964a520b30024e3, 4.76069), (4ac518d2f964a5203da720e3, 4.737797), (4ac518d1f964a520c3a620e3, 4.717049), (4ac518f4f964a520fbae20e3*, 4.6913643), (4acbc300f964a52058c520e3, 4.6889563), (4ac518eff964a52064ad20e3, 4.6878014), (4ac518d3f964a52076a720e3, 4.680733), (4af47862f964a520d6f221e3, 4.680159), (4c9c6a059c48236a1cb14dee, 4.679818)
19592747: (4ac518d2f964a5203da720e3, 3.5821846), (4bed05629868a5937cdb5c46, 3.5682058), (4c52b7a4b6dabe9a24d2bb13, 3.5313723), (4c222b9d497cb713c9e46cd8, 3.5270422), (4ba6419bf964a520b23f39e3, 3.5179827), (4be5a482cf200f47ff79133c, 3.5120792), (4b1c0375f964a520b30024e3, 3.4931471), (4ac518f6f964a52052af20e3, 3.4913385), (4b7e5255f964a52076e92fe3, 3.481471), (4c513de4250dd13a41a4e17c, 3.4661908)
133443490: (4bc0d7c84cdfc9b658969321, 4.072924), (4af47862f964a520d6f221e3, 4.0657916), (4e175b25183880768f35a7e5, 4.0284305), (4ac518f4f964a520fbae20e3, 3.9599288), (4ac518f6f964a52052af20e3, 3.9538867), (4b1c0375f964a520b30024e3, 3.9525232), (4bcc08273740b7139c756365, 3.9383042), (4ac518cef964a52021a620e3, 3.9299827), (4c9c6a059c48236a1cb14dee, 3.9218102), (4ac518d0f964a52095a620e3, 3.9182096)
35528090: (4c52b7a4b6dabe9a24d2bb13, 4.4293547), (4ac518cef964a52021a620e3, 4.4084964), (4ba6419bf964a520b23f39e3, 4.4055686), (4ac518d2f964a5203da720e3, 4.369321), (4bcc08273740b7139c756365, 4.3584642), (4ac518ecf964a52072ac20e3, 4.357558), (4ac518d2f964a52026a720e3, 4.341869), (4b114284f964a520657923e3, 4.335515), (4d5ed23c149637047e12cf94, 4.3281827), (4b1c0375f964a520b30024e3, 4.3266535)
21686958: (4af47862f964a520d6f221e3, 5.135847), (4ac518cef964a52021a620e3, 5.1037235), (4ac518d3f964a52076a720e3, 5.0813303), (4b1c0375f964a520b30024e3, 5.070787), (4ac518d2f964a52026a720e3, 5.068861), (4c6ce8d923c1a1cd4bdf1acf, 5.0668), (4c9c6a059c48236a1cb14dee, 5.0608344), (4ac518eff964a52064ad20e3, 5.0562115), (4acbc300f964a52058c520e3, 5.05302), (4ac518cef964a520f8a520e3, 5.048645)
1469238920: (4ac518bef964a52000a320e3, 3.8483596), (4ac518d2f964a5203da720e3, 3.8177114), (4ac518cef964a52021a620e3, 3.8126602), (4b1c0375f964a520b30024e3, 3.80954), (4c52b7a4b6dabe9a24d2bb13, 3.8018553), (4ac518d1f964a520c3a620e3, 3.7897613), (4c9c6a059c48236a1cb14dee, 3.7865224), (4ac518f4f964a520fbae20e3, 3.7762468), (4ac518cef964a52009a620e3, 3.7721741), (52d71ac611d2dae852a0be1f, 3.771855)
