# userId: recommendations in (itemId, ranking score) pairs, where a correct recommendation is denoted by symbol *.
8493742: (4ac518cdf964a520f2a520e3, 3.2536695), (4ac518cef964a52021a620e3, 3.2523234), (52d71ac611d2dae852a0be1f, 3.2428083), (4ac518f6f964a52052af20e3, 3.2381396), (4acbc300f964a52058c520e3, 3.2335722), (4ac518eff964a52064ad20e3, 3.2299385), (4c6ce8d923c1a1cd4bdf1acf, 3.2290654), (4ac518cef964a520f8a520e3, 3.225648), (4ac518d2f964a52026a720e3, 3.2060292), (4fff1c5de4b018897fe4e69a, 3.2052855)
162511952: (4ac518f6f964a52052af20e3, 5.280655), (4ac518cef964a52021a620e3, 5.2791686), (4c9c6a059c48236a1cb14dee, 5.2734222), (4b1c0375f964a520b30024e3, 5.220442), (4ac518d1f964a520c3a620e3, 5.212932), (4af47862f964a520d6f221e3, 5.2058907), (4b114284f964a520657923e3, 5.1987476), (4ac518d3f964a52076a720e3, 5.191363), (4ac518f7f964a520c6af20e3, 5.1880918), (4ac518d2f964a5203da720e3, 5.172013)
18319254: (4af47862f964a520d6f221e3, 4.216475), (4ac518cef964a52021a620e3, 4.1978745), (4c9c6a059c48236a1cb14dee, 4.179145), (4ac518b8f964a52081a120e3, 4.1563544), (4ac518f4f964a520fbae20e3, 4.138352), (4d5ed23c149637047e12cf94, 4.1339073), (4ac518f7f964a520c6af20e3, 4.1334267), (4ac518d0f964a52095a620e3, 4.133022), (4ac518bbf964a5200ca220e3, 4.1240845), (4b7e5255f964a52076e92fe3, 4.1041703)
20735661: (4ac518f6f964a52052af20e3, 4.5923), (4c9c6a059c48236a1cb14dee, 4.580124), (4ac518cef964a52021a620e3, 4.5643682), (4ac518d1f964a520c3a620e3, 4.5454173), (4ac518d2f964a52026a720e3, 4.533257), (4c6ce8d923c1a1cd4bdf1acf, 4.532202), (52d71ac611d2dae852a0be1f, 4.5114017), (4ac518cef964a520f8a520e3, 4.5052266), (4bcc08273740b7139c756365, 4.5016575), (4b1c0375f964a520b30024e3, 4.5012283)
138078717: (4c9c6a059c48236a1cb14dee, 3.8147364), (4ac518cef964a52021a620e3, 3.8055477), (4ac518d1f964a520c3a620e3, 3.7547066), (4ac518cef964a520f8a520e3, 3.7501147), (4ac518d3f964a52076a720e3, 3.738026), (4e175b25183880768f35a7e5, 3.7263222), (4c52b7a4b6dabe9a24d2bb13, 3.7236373), (4ac518f6f964a52052af20e3, 3.7130742), (4ac518d2f964a52026a720e3, 3.7050838), (4b114284f964a520657923e3, 3.7043324)
139888796: (4ac518cef964a52021a620e3, 5.8612022), (4c9c6a059c48236a1cb14dee, 5.860398), (4ac518d1f964a520c3a620e3, 5.810184), (4af47862f964a520d6f221e3, 5.7650385), (4ac518eff964a52064ad20e3, 5.762256), (4ac518d2f964a52026a720e3, 5.7572255), (4ac518cef964a520f8a520e3, 5.743709), (4c6ce8d923c1a1cd4bdf1acf, 5.7178864), (4acbc300f964a52058c520e3, 5.7110415), (4b1c0375f964a520b30024e3, 5.6986356)
20643835: (4ac518cef964a52021a620e3, 2.8628051), (4ba6419bf964a520b23f39e3, 2.8294523), (4c9c6a059c48236a1cb14dee, 2.8237736), (4af47862f964a520d6f221e3, 2.8022833), (4ac518f6f964a52052af20e3, 2.7939556), (4b114284f964a520657923e3, 2.7936049), (4acbc300f964a52058c520e3, 2.785059), (4ac518d2f964a52026a720e3, 2.7720897), (4ac518cdf964a520f2a520e3, 2.7639139), (4ac518cef964a520f8a520e3, 2.7608485)
95731884: (4ac518cef964a52021a620e3, 5.3910766), (4c9c6a059c48236a1cb14dee, 5.3872633), (4ac518d1f964a520c3a620e3, 5.3342457), (4af47862f964a520d6f221e3, 5.2971673), (4ac518f7f964a520c6af20e3, 5.2895045), (4c52b7a4b6dabe9a24d2bb13, 5.286593), (4ac518d2f964a5203da720e3, 5.285533), (4ac518d2f964a52026a720e3, 5.2792854), (4ac518cef964a520f8a520e3, 5.2770824), (4acbc300f964a52058c520e3, 5.276844)
19592747: (4b431692f964a52022dc25e3, 3.7739043), (4acbc300f964a52058c520e3, 3.7584846), (4b1028a6f964a5203e6a23e3, 3.730707), (4c6ce8d923c1a1cd4bdf1acf, 3.6495306), (4bc0d7c84cdfc9b658969321, 3.6352248), (4ad06c8ef964a52009d820e3, 3.6204932), (4ac518d2f964a5203da720e3, 3.6140256), (4ac518f6f964a52052af20e3, 3.6139998), (4b114284f964a520657923e3, 3.6125631), (4ba6419bf964a520b23f39e3, 3.595579)
133443490: (4acbc300f964a52058c520e3, 3.7870998), (4ac518d2f964a5203da720e3, 3.7548847), (4bc0d7c84cdfc9b658969321, 3.7438715), (4ac518cef964a52021a620e3, 3.7329774), (4b114284f964a520657923e3, 3.7089567), (4af47862f964a520d6f221e3, 3.6903803), (4c9c6a059c48236a1cb14dee, 3.6653316), (4ac518d1f964a520c3a620e3, 3.6634831), (4aec432bf964a520bcc521e3, 3.661935), (4ba6419bf964a520b23f39e3, 3.661379)
121683168: (4ac518f0f964a520afad20e3, 2.2822719), (4b5061def964a520cb2127e3, 2.2703123), (50c070d7e4b06f3d184f48ce, 2.2587824), (4b0a52daf964a5203e2323e3, 2.2465675), (4ba6419bf964a520b23f39e3, 2.245682), (4bc0d7c84cdfc9b658969321, 2.2454894), (4ac518b8f964a52081a120e3, 2.2391472), (4c3d6ed94bc9a5939b07d471, 2.2352748), (4ac518f6f964a52052af20e3, 2.225946), (4b1c0375f964a520b30024e3, 2.2246058)
