# userId: recommendations in (itemId, ranking score) pairs, where a correct recommendation is denoted by symbol *.
8493742: (4af47862f964a520d6f221e3, 5.310172), (4ac518f6f964a52052af20e3, 5.2311764), (4ac518d3f964a52076a720e3, 5.204858), (4bcc08273740b7139c756365, 5.1993837), (4c9c6a059c48236a1cb14dee, 5.186062), (4ac518cef964a52021a620e3, 5.18467), (4ac518d2f964a52026a720e3, 5.1726093), (4ac518f4f964a520fbae20e3, 5.166123), (4b1c0375f964a520b30024e3, 5.149896), (4ac518f7f964a520c6af20e3, 5.1487865)
28777828: (4ac518e8f964a52075ab20e3, 4.2011037), (4c6ce8d923c1a1cd4bdf1acf, 4.161068), (4af47862f964a520d6f221e3, 4.1557865), (4c9c6a059c48236a1cb14dee, 4.1545715), (505b0a96e4b0597d277e6444, 4.1337647), (4e4b9e2314958c3abfa956c7, 4.1302404), (4ac518f4f964a520fbae20e3, 4.118642), (4ac518e8f964a5207fab20e3, 4.112735), (4b1c0375f964a520b30024e3, 4.0989494), (4ac518f6f964a52052af20e3, 4.0916953)
162511952: (4ac518cef964a52021a620e3, 3.965559), (4bc0d7c84cdfc9b658969321, 3.937602), (4b1c0375f964a520b30024e3, 3.9137273), (4c6ce8d923c1a1cd4bdf1acf, 3.9122741), (4d5ed23c149637047e12cf94, 3.9105575), (4ac518eff964a52064ad20e3, 3.9016633), (4c52b7a4b6dabe9a24d2bb13, 3.89884), (4ad42aa6f964a5205de720e3, 3.8979383), (4bcc08273740b7139c756365, 3.892075), (4c9c6a059c48236a1cb14dee, 3.891408)
18816105: (4ac518d1f964a520c3a620e3, 3.677173), (4c9c6a059c48236a1cb14dee, 3.676311), (4e4b9e2314958c3abfa956c7, 3.6758769), (4e175b25183880768f35a7e5, 3.6079917), (4ac518cef964a52021a620e3, 3.6039965), (4af47862f964a520d6f221e3, 3.5818622), (4ac518f6f964a52052af20e3, 3.5813727), (4b1290d5f964a520da8a23e3, 3.5803766), (4b1c0375f964a520b30024e3, 3.5708983), (52d71ac611d2dae852a0be1f, 3.548418)
376938788: (4ac518cef964a52021a620e3, 5.553756), (4c9c6a059c48236a1cb14dee, 5.5417595), (4af47862f964a520d6f221e3, 5.5288186), (4ac518d2f964a5203da720e3, 5.506524), (4ac518d2f964a52026a720e3, 5.498773), (4bcc08273740b7139c756365, 5.4976983), (4ac518d1f964a520c3a620e3, 5.4746594), (4c6ce8d923c1a1cd4bdf1acf, 5.4701595), (4ac518f7f964a520c6af20e3, 5.45532), (4ac518f6f964a52052af20e3, 5.43983)
20735661: (4ac518cef964a52021a620e3, 4.5628924), (4ac518f6f964a52052af20e3, 4.553205), (4ac518d3f964a52076a720e3, 4.5496755), (4ac518d2f964a52026a720e3, 4.546925), (4b1c0375f964a520b30024e3, 4.5216484), (506999663d7cfe42e733a9b3, 4.5149255), (4ac518d2f964a5203da720e3, 4.514187), (4d5ed23c149637047e12cf94, 4.511434), (4ac518eff964a52064ad20e3*, 4.5100574), (4c9c6a059c48236a1cb14dee, 4.495522)
138078717: (4c9c6a059c48236a1cb14dee, 4.819933), (4ac518cef964a52021a620e3, 4.8036556), (4ac518f6f964a52052af20e3, 4.7655425), (4ac518eff964a52064ad20e3, 4.751327), (4ac518d1f964a520c3a620e3, 4.7399225), (4b1c0375f964a520b30024e3, 4.7330565), (4d5ed23c149637047e12cf94, 4.720319), (4e4b9e2314958c3abfa956c7, 4.7188153), (4e175b25183880768f35a7e5, 4.7095127), (4b8146dbf964a520439d30e3, 4.7070284)
20643835: (4b1c0375f964a520b30024e3, 4.156767), (4af47862f964a520d6f221e3, 4.139458), (4ac518f4f964a520fbae20e3, 4.127164), (4fe85037e4b0af2e68221581, 4.123262), (4c52b7a4b6dabe9a24d2bb13, 4.1212654), (4c444a8c8c1f20a192263c99, 4.115378), (4c9c6a059c48236a1cb14dee, 4.0875864), (4b233922f964a520785424e3, 4.085846), (4ba6419bf964a520b23f39e3, 4.071594), (4ac518f6f964a52052af20e3, 4.0466657)
23110179: (4af47862f964a520d6f221e3, 3.7357836), (4c9c6a059c48236a1cb14dee, 3.7175188), (4ac518d1f964a520c3a620e3, 3.6767113), (4ac518d2f964a52026a720e3, 3.6752613), (4d5ed23c149637047e12cf94, 3.6610248), (4ac518cef964a52021a620e3, 3.6551855), (4bcc08273740b7139c756365, 3.6475966), (4ac518f6f964a52052af20e3, 3.646029), (4ac518d3f964a52076a720e3, 3.6441174), (4ac518cef964a520f8a520e3, 3.626332)
19592747: (4ac518cef964a52021a620e3, 3.7822828), (4b1c0375f964a520b30024e3, 3.7763188), (4af47862f964a520d6f221e3, 3.7751765), (4c9c6a059c48236a1cb14dee, 3.7692094), (4ac518f6f964a52052af20e3, 3.7498276), (4ac518d1f964a520c3a620e3, 3.730897), (4ac518f4f964a520fbae20e3, 3.7204754), (4ac518e8f964a52075ab20e3, 3.7088797), (4ac518f7f964a520c6af20e3, 3.7057962), (4ac518d2f964a52026a720e3, 3.704188)
35528090: (4bcc08273740b7139c756365, 3.8555367), (4af47862f964a520d6f221e3, 3.8296807), (4ac518d2f964a5203da720e3, 3.8125556), (4ac518d2f964a52026a720e3, 3.8081088), (4ac518d3f964a52076a720e3, 3.789291), (4d5ed23c149637047e12cf94, 3.7764199), (4bc0d7c84cdfc9b658969321, 3.7635593), (4ac518cef964a52021a620e3, 3.742889), (4c6ce8d923c1a1cd4bdf1acf, 3.7332006), (4ac518f7f964a520c6af20e3, 3.7084906)
