# userId: recommendations in (itemId, ranking score) pairs, where a correct recommendation is denoted by symbol *.
162511952: (4c52b7a4b6dabe9a24d2bb13, 3.8055696), (4ac518d1f964a520c3a620e3, 3.7712524), (4c9c6a059c48236a1cb14dee, 3.7594826), (4ac518d2f964a5203da720e3, 3.7551203), (4acbc300f964a52058c520e3, 3.7465568), (4ac518eff964a52064ad20e3, 3.7338524), (4b114284f964a520657923e3, 3.7301617), (4ae811e5f964a5200cae21e3, 3.707241), (4b1c0375f964a520b30024e3, 3.7035077), (4d5ed23c149637047e12cf94, 3.6939163)
18319254: (4bcc08273740b7139c756365, 5.071467), (4ac518cef964a52021a620e3, 5.0467854), (4c9c6a059c48236a1cb14dee, 5.031502), (4af47862f964a520d6f221e3, 4.9679484), (4ba6419bf964a520b23f39e3, 4.9585066), (4d5ed23c149637047e12cf94, 4.919883), (4b1028a6f964a5203e6a23e3, 4.916402), (4acbc300f964a52058c520e3, 4.9078746), (4b1c0375f964a520b30024e3, 4.898397), (4ac518eff964a52064ad20e3, 4.894364)
376938788: (4ac518eff964a52064ad20e3, 3.934983), (4c9c6a059c48236a1cb14dee, 3.9123545), (4ac518f7f964a520c6af20e3, 3.8969295), (4ac518d2f964a52026a720e3, 3.8936484), (4ac518d2f964a5203da720e3, 3.8926873), (4b1c0375f964a520b30024e3, 3.884766), (4ac518d1f964a520e6a620e3, 3.8776937), (4acbc300f964a52058c520e3, 3.866111), (4ae2252ef964a5202c8b21e3, 3.8660002), (4ac518d1f964a520c3a620e3, 3.8624558)
138078717: (4c9c6a059c48236a1cb14dee, 4.9573045), (4d5ed23c149637047e12cf94, 4.9036174), (4acbc300f964a52058c520e3, 4.902351), (4af47862f964a520d6f221e3, 4.868007), (4ac518cef964a52021a620e3, 4.8613825), (4bc0d7c84cdfc9b658969321, 4.860866), (4ac518d1f964a520c3a620e3, 4.8380413), (4bcc08273740b7139c756365, 4.82749), (4ac518f6f964a52052af20e3, 4.815109), (4ad42aa6f964a5205de720e3, 4.8144526)
139888796: (4c9c6a059c48236a1cb14dee, 5.680346), (4af47862f964a520d6f221e3, 5.632973), (4ae811e5f964a5200cae21e3, 5.624468), (4acbc300f964a52058c520e3, 5.5902996), (4ac518d1f964a520c3a620e3, 5.5845184), (4c52b7a4b6dabe9a24d2bb13, 5.5674887), (505b0a96e4b0597d277e6444, 5.5617304), (4ac518d2f964a5203da720e3, 5.558529), (4ac518f6f964a52052af20e3, 5.5536757), (4ac518eff964a52064ad20e3, 5.5480084)
20643835: (4c9c6a059c48236a1cb14dee, 3.8857055), (4af47862f964a520d6f221e3, 3.8793943), (4ac518cef964a52021a620e3, 3.87203), (4ac518cef964a520f8a520e3, 3.8377972), (4ac518f6f964a52052af20e3, 3.8335197), (4ac518d1f964a520c3a620e3, 3.830849), (4c52b7a4b6dabe9a24d2bb13, 3.8202937), (4acbc300f964a52058c520e3, 3.8096304), (4ac518d3f964a52076a720e3, 3.7927217), (4b114284f964a520657923e3, 3.7901947)
95731884: (4ac518cef964a52021a620e3, 4.858348), (4ac518d3f964a52076a720e3, 4.838281), (4ac518d2f964a52026a720e3, 4.805759), (4ac518eff964a52064ad20e3, 4.8051414), (4c9c6a059c48236a1cb14dee, 4.792863), (4b1c0375f964a520b30024e3, 4.788164), (4c6ce8d923c1a1cd4bdf1acf, 4.764877), (4ac518d1f964a520c3a620e3, 4.7612057), (4af47862f964a520d6f221e3, 4.7592077), (4b114284f964a520657923e3, 4.730764)
121683168: (4b114284f964a520657923e3, 4.3560343), (4ac518d1f964a520c3a620e3, 4.3109927), (52ed563c11d223d2d8e2ebd3, 4.3085012), (4ac518d2f964a5203da720e3, 4.2944784), (4c513de4250dd13a41a4e17c, 4.288038), (4ac518cef964a52021a620e3, 4.284846), (4b1c0375f964a520b30024e3, 4.280998), (4ac518eff964a52064ad20e3, 4.2755423), (4b7e5255f964a52076e92fe3, 4.2696395), (4c9c6a059c48236a1cb14dee, 4.227937)
35528090: (4ac518eff964a52064ad20e3, 4.497759), (4ac518cef964a52021a620e3, 4.4391823), (4ac518d2f964a52026a720e3, 4.4280357), (4af47862f964a520d6f221e3, 4.4239106), (4ac518d1f964a520c3a620e3, 4.4138308), (4ac518d3f964a52076a720e3, 4.412287), (4acbc300f964a52058c520e3, 4.407746), (4c6ce8d923c1a1cd4bdf1acf, 4.4026246), (4b1c0375f964a520b30024e3, 4.4006467), (4bcc08273740b7139c756365, 4.389728)
21686958: (4c9c6a059c48236a1cb14dee, 4.725143), (4ac518cef964a52021a620e3, 4.7114305), (4ba6419bf964a520b23f39e3, 4.6944695), (4af47862f964a520d6f221e3, 4.671814), (4ac518d2f964a52026a720e3, 4.650442), (505b0a96e4b0597d277e6444, 4.6450124), (4c6ce8d923c1a1cd4bdf1acf, 4.623283), (4bcc08273740b7139c756365, 4.617722), (4ac518eff964a52064ad20e3, 4.6114726), (4ac518f7f964a520c6af20e3, 4.606292)
1469238920: (4c52b7a4b6dabe9a24d2bb13, 3.6328104), (4ac518d2f964a5203da720e3, 3.6265733), (4af47862f964a520d6f221e3, 3.617401), (4ac518eff964a52064ad20e3, 3.601039), (4ac518d1f964a520c3a620e3, 3.5951512), (4b1c0375f964a520b30024e3, 3.5776947), (4c9c6a059c48236a1cb14dee, 3.577353), (4b114284f964a520657923e3, 3.5610363), (4acbc300f964a52058c520e3, 3.5501935), (4acaf933f964a52031c320e3, 3.547827)
