# userId: recommendations in (itemId, ranking score) pairs, where a correct recommendation is denoted by symbol *.
8493742: (4c6ce8d923c1a1cd4bdf1acf, 4.2179904), (4ac518f7f964a520c6af20e3, 4.215094), (4ac518f6f964a52052af20e3, 4.207808), (4b1c0375f964a520b30024e3, 4.194766), (4ba6419bf964a520b23f39e3, 4.162917), (4c9c6a059c48236a1cb14dee, 4.1537137), (4ac518d1f964a520c3a620e3, 4.150983), (4ac518f4f964a520fbae20e3, 4.141639), (4af47862f964a520d6f221e3, 4.1360474), (4ac518cef964a52021a620e3, 4.125582)
162511952: (4c9c6a059c48236a1cb14dee, 3.3324425), (4ac518cef964a52021a620e3, 3.3043973), (4ad42aa6f964a5205de720e3, 3.27741), (4bcc08273740b7139c756365, 3.274816), (4ac518f6f964a52052af20e3, 3.2579017), (4ac518d2f964a5203da720e3, 3.2524228), (4ac518cef964a520f8a520e3, 3.2512066), (4c52b7a4b6dabe9a24d2bb13, 3.245811), (4ac518e8f964a52075ab20e3, 3.2451231), (4ac518d1f964a520c3a620e3, 3.2338507)
18319254: (4af47862f964a520d6f221e3, 4.1382732), (4ac518f6f964a52050af20e3, 4.115262), (4bcc08273740b7139c756365, 4.10031), (4ac518cef964a52021a620e3, 4.0761566), (4ac518cef964a520f8a520e3, 4.0540304), (4ac518d2f964a52026a720e3, 4.053039), (4acaf933f964a52031c320e3, 4.050151), (4ac518eff964a52064ad20e3, 4.035007), (4ac518f6f964a52052af20e3, 4.0283847), (4be52e42910020a160b5d214, 4.0205274)
376938788: (4bcc08273740b7139c756365, 4.1157727), (4ac518f4f964a520fbae20e3, 4.1086674), (4ac518cef964a520f8a520e3, 4.0970116), (4ac518f7f964a520c6af20e3, 4.0962925), (4c9c6a059c48236a1cb14dee, 4.091165), (4ac518cef964a52021a620e3, 4.085991), (4ac518f6f964a52052af20e3, 4.0853214), (4ba6419bf964a520b23f39e3, 4.055237), (4c52b7a4b6dabe9a24d2bb13, 4.0522785), (4ad42aa6f964a5205de720e3, 4.0418305)
20669549: (4ac518f6f964a52052af20e3, 5.706864), (4c9c6a059c48236a1cb14dee, 5.682426), (4ac518cef964a52021a620e3, 5.6592464), (4ac518f4f964a520fbae20e3, 5.6581717), (4c6ce8d923c1a1cd4bdf1acf, 5.6559005), (4b1c0375f964a520b30024e3, 5.646604), (4ac518f7f964a520c6af20e3, 5.624672), (4ac518eff964a52064ad20e3, 5.6207013), (4ac518d3f964a52076a720e3, 5.6195793), (4ac518d1f964a520c3a620e3, 5.617743)
20735661: (4ac518f4f964a520fbae20e3, 4.5479717), (4ac518f6f964a52052af20e3, 4.54123), (4ac518cef964a52021a620e3, 4.5170007), (4d5ed23c149637047e12cf94, 4.5132394), (4c9c6a059c48236a1cb14dee, 4.493364), (4ac518e8f964a52075ab20e3, 4.4904404), (4acbc300f964a52058c520e3, 4.4876814), (4ac518d2f964a52026a720e3, 4.474056), (4ac518cef964a520f8a520e3, 4.4712567), (4ac518d1f964a520c3a620e3, 4.451458)
138078717: (4ac518d2f964a52026a720e3, 5.3839035), (4bc0d7c84cdfc9b658969321, 5.3809123), (4ac518eff964a52064ad20e3, 5.36699), (4af47862f964a520d6f221e3, 5.364665), (4ac518f6f964a52052af20e3, 5.3518677), (4ac518d1f964a520c3a620e3, 5.3485107), (4c9c6a059c48236a1cb14dee, 5.3429213), (4acbc300f964a52058c520e3, 5.3373017), (4b1c0375f964a520b30024e3, 5.3194194), (4ac518cef964a52021a620e3, 5.307682)
139888796: (4c9c6a059c48236a1cb14dee, 4.3197427), (4ad42aa6f964a5205de720e3, 4.2721224), (4ac518d1f964a520c3a620e3, 4.2698455), (4af47862f964a520d6f221e3, 4.255754), (4ac518cef964a52021a620e3, 4.2500234), (4ac518f6f964a52052af20e3, 4.2418513), (4b1c0375f964a520b30024e3, 4.2332425), (4c6ce8d923c1a1cd4bdf1acf, 4.230088), (4c513de4250dd13a41a4e17c, 4.2287526), (4ac518cef964a520f8a520e3, 4.2227664)
95731884: (4ac518cef964a52021a620e3, 4.1565466), (4c9c6a059c48236a1cb14dee, 4.139649), (4ac518f6f964a52052af20e3, 4.1365576), (4ac518cef964a520f8a520e3, 4.127796), (4af47862f964a520d6f221e3, 4.11616), (4ac518eff964a52064ad20e3, 4.1062717), (4ac518d2f964a52026a720e3, 4.10366), (4bcc08273740b7139c756365, 4.097103), (4ac518d1f964a520c3a620e3, 4.0963054), (4b1c0375f964a520b30024e3, 4.080002)
23110179: (4ac518d2f964a5203da720e3, 4.8512454), (4ac518f6f964a52052af20e3, 4.7797003), (4b1c0375f964a520b30024e3, 4.747775), (4c9c6a059c48236a1cb14dee, 4.728415), (4e175b25183880768f35a7e5, 4.70815), (4ac518f7f964a520c6af20e3, 4.6921835), (4acbc300f964a52058c520e3, 4.687478), (4c6ce8d923c1a1cd4bdf1acf, 4.679211), (4ac518cef964a52021a620e3, 4.6760826), (4ba12171f964a520c29a37e3, 4.664799)
121683168: (4ac518f4f964a520fbae20e3, 3.9075785), (4ac518f6f964a52052af20e3, 3.9055245), (4b1c0375f964a520b30024e3, 3.885292), (4e4b9e2314958c3abfa956c7, 3.8669128), (4c6ce8d923c1a1cd4bdf1acf, 3.8461075), (4ac518f7f964a520c6af20e3, 3.840198), (4ac518b8f964a52081a120e3, 3.83871), (4ac518d3f964a5204da720e3, 3.8136811), (4acbc300f964a52058c520e3, 3.8076515), (4bad16def964a520792c3be3, 3.7949703)
