# userId: recommendations in (itemId, ranking score) pairs, where a correct recommendation is denoted by symbol *.
8493742: (4ac518d3f964a52076a720e3, 3.1397169), (4bcc08273740b7139c756365, 3.1331637), (4af8a7f7f964a520fc0e22e3, 3.095583), (4ac518cef964a520f8a520e3, 3.0786316), (4c9c6a059c48236a1cb14dee, 3.0719976), (4ae2252ef964a5202c8b21e3, 3.0614467), (4bc0d7c84cdfc9b658969321, 3.0571997), (4ac518cef964a52021a620e3, 3.0554152), (4ae9aca2f964a5209fb521e3, 3.0471673), (52d71ac611d2dae852a0be1f, 3.0418549)
162511952: (4bc0d7c84cdfc9b658969321, 3.8405519), (4ac518cef964a520f8a520e3, 3.8193808), (4b114284f964a520657923e3, 3.7976491), (4ac518cef964a52021a620e3, 3.7939003), (4bcc08273740b7139c756365, 3.753266), (4c9c6a059c48236a1cb14dee, 3.7266142), (4af47862f964a520d6f221e3, 3.7075088), (4ba6419bf964a520b23f39e3, 3.696254), (4ac518f8f964a520cfaf20e3, 3.694021), (4ba12171f964a520c29a37e3, 3.6798184)
18319254: (4ac518cef964a52021a620e3, 5.5880322), (4ac518d1f964a520c3a620e3, 5.5411334), (4af47862f964a520d6f221e3, 5.5328074), (4ac518f6f964a52052af20e3, 5.5193934), (4c9c6a059c48236a1cb14dee, 5.515072), (4c6ce8d923c1a1cd4bdf1acf, 5.4935327), (4ac518d2f964a52026a720e3, 5.4748855), (4ac518d2f964a5203da720e3, 5.466703), (4ba6419bf964a520b23f39e3, 5.4599695), (4ad42aa6f964a5205de720e3, 5.4216065)
376938788: (4ac518d3f964a52076a720e3, 5.45547), (4c9c6a059c48236a1cb14dee, 5.4330144), (4ac518cef964a520f8a520e3, 5.4084616), (4ac518cef964a52021a620e3, 5.37081), (4acaf933f964a52031c320e3, 5.365691), (4af47862f964a520d6f221e3, 5.333592), (4b1c0375f964a520b30024e3, 5.33235), (4bcc08273740b7139c756365, 5.323657), (4ac518eff964a52064ad20e3, 5.3226104), (4ae811e5f964a5200cae21e3, 5.307817)
20669549: (4ac518cef964a52021a620e3, 4.2324038), (4bc0d7c84cdfc9b658969321, 4.222278), (4ac518cef964a520f8a520e3, 4.2094545), (4ac518f4f964a520fbae20e3, 4.161043), (4c9c6a059c48236a1cb14dee, 4.1592207), (4ac518d3f964a52076a720e3, 4.150307), (4ba6419bf964a520b23f39e3, 4.1453056), (4af47862f964a520d6f221e3, 4.141766), (4fff1c5de4b018897fe4e69a, 4.1233163), (4b114284f964a520657923e3, 4.1181684)
20735661: (4ac518cef964a52021a620e3, 5.386026), (4ac518d1f964a520c3a620e3, 5.3607907), (4af47862f964a520d6f221e3, 5.340197), (4c6ce8d923c1a1cd4bdf1acf, 5.3374205), (4ba6419bf964a520b23f39e3, 5.3285303), (4ac518d2f964a52026a720e3, 5.3197546), (4c9c6a059c48236a1cb14dee, 5.30454), (4ac518d2f964a5203da720e3, 5.3018675), (4ac518f6f964a52052af20e3, 5.2823634), (4b0bf426f964a5200e3523e3, 5.2769575)
138078717: (4ac518cef964a52021a620e3, 5.5584), (4c9c6a059c48236a1cb14dee, 5.554233), (4af47862f964a520d6f221e3, 5.4762115), (4ac518f6f964a52052af20e3, 5.468971), (4bcc08273740b7139c756365, 5.463875), (4ac518f4f964a520fbae20e3, 5.4637685), (4ac518d1f964a520c3a620e3, 5.4484878), (4ac518d2f964a5203da720e3, 5.4284816), (4ac518f7f964a520c6af20e3*, 5.4187045), (4bc0d7c84cdfc9b658969321, 5.4105387)
139888796: (4ac518d1f964a520c3a620e3, 3.950188), (4ac518f4f964a520fbae20e3, 3.9244616), (4ac518d3f964a52076a720e3, 3.9034326), (4c9c6a059c48236a1cb14dee, 3.8872106), (4b1c0375f964a520b30024e3, 3.8864396), (4b8146dbf964a520439d30e3, 3.8552105), (4b0bf426f964a5200e3523e3, 3.8534496), (4ac518eff964a52064ad20e3, 3.8523583), (4ac518cef964a52021a620e3, 3.8483915), (4af47862f964a520d6f221e3, 3.8342075)
20643835: (4ac518cef964a52021a620e3, 4.2506227), (4af47862f964a520d6f221e3, 4.2481394), (4c9c6a059c48236a1cb14dee, 4.204682), (4ac518f6f964a52052af20e3, 4.2007947), (4ac518d1f964a520c3a620e3, 4.1964297), (4ac518eff964a52064ad20e3, 4.1873), (4ac518f7f964a520c6af20e3, 4.183812), (4acbc300f964a52058c520e3, 4.1796207), (4ac518d2f964a52026a720e3, 4.168123), (4ac518d2f964a5203da720e3, 4.1614223)
95731884: (4c9c6a059c48236a1cb14dee, 5.0399075), (4bcc08273740b7139c756365, 5.012376), (4ac518d3f964a52076a720e3, 5.0032153), (4b1c0375f964a520b30024e3, 4.999315), (51065455e4b06f162ac7a347, 4.950779), (4acaf933f964a52031c320e3, 4.905701), (4ae2252ef964a5202c8b21e3, 4.898416), (4ac518cef964a520f8a520e3, 4.8904243), (4ac518cef964a52021a620e3, 4.883319), (4ac518d2f964a52026a720e3, 4.8766365)
23110179: (4ac518cef964a52021a620e3, 5.165681), (4bcc08273740b7139c756365, 5.109642), (4e175b25183880768f35a7e5, 5.1084213), (4ac518d3f964a52076a720e3, 5.1049614), (4ac518f6f964a52052af20e3, 5.094131), (4ac518f4f964a520fbae20e3, 5.0850616), (4bc0d7c84cdfc9b658969321, 5.082918), (4c9c6a059c48236a1cb14dee, 5.0760136), (4ae811e5f964a5200cae21e3, 5.063266), (4af47862f964a520d6f221e3, 5.0626254)
