# userId: recommendations in (itemId, ranking score) pairs, where a correct recommendation is denoted by symbol *.
8493742: (4ac518d1f964a520c3a620e3, 4.830005), (4c9c6a059c48236a1cb14dee, 4.8040056), (4af47862f964a520d6f221e3, 4.7532454), (4ac518f6f964a52052af20e3, 4.7057505), (4ac518d2f964a5203da720e3, 4.700161), (4ac518cef964a52021a620e3, 4.6847396), (4b114284f964a520657923e3, 4.6696315), (4ac518d3f964a52076a720e3, 4.6576757), (4ac518d2f964a52026a720e3, 4.6575556), (4e175b25183880768f35a7e5, 4.655764)
20669549: (4ac518d1f964a520c3a620e3, 4.8619857), (4c9c6a059c48236a1cb14dee, 4.854634), (4ac518d2f964a5203da720e3, 4.8534503), (4af47862f964a520d6f221e3, 4.8505106), (4b114284f964a520657923e3, 4.809092), (4ac518cef964a52021a620e3, 4.8069663), (4e175b25183880768f35a7e5, 4.761482), (4ac518d0f964a52095a620e3, 4.7613754), (4ac518d2f964a52026a720e3, 4.7506685), (4ac518e8f964a52075ab20e3, 4.7426534)
138078717: (4af47862f964a520d6f221e3, 4.7754393), (4c9c6a059c48236a1cb14dee, 4.74081), (4ac518d2f964a5203da720e3, 4.7343564), (4ac518d1f964a520c3a620e3, 4.716576), (4ac518e8f964a52075ab20e3, 4.7144217), (4e175b25183880768f35a7e5, 4.7143774), (4ac518d2f964a52026a720e3, 4.704984), (4b114284f964a520657923e3, 4.703521), (4af9a82df964a520fd1222e3, 4.693469), (4ac518d0f964a52095a620e3, 4.669757)
139888796: (4c9c6a059c48236a1cb14dee, 2.4921787), (4ac518f6f964a52052af20e3, 2.4788027), (4ac518f4f964a520fbae20e3, 2.4716065), (4ba6419bf964a520b23f39e3, 2.4544616), (4af47862f964a520d6f221e3, 2.4495575), (4acbc300f964a52058c520e3, 2.4453676), (4ac518f7f964a520c6af20e3, 2.4432082), (4ac518cef964a52021a620e3, 2.4408057), (4d5ed23c149637047e12cf94, 2.4379752), (4bcc08273740b7139c756365, 2.4378362)
20643835: (4ac518d2f964a5203da720e3, 4.3752775), (4c52b7a4b6dabe9a24d2bb13, 4.361367), (4ac518cef964a52021a620e3, 4.3328743), (4af47862f964a520d6f221e3, 4.3326817), (4ac518d2f964a52026a720e3, 4.323732), (4ac518eff964a52064ad20e3, 4.3145022), (4acbc300f964a52058c520e3, 4.306973), (4ba6419bf964a520b23f39e3, 4.3045106), (4ac518f4f964a520fbae20e3, 4.3026743), (506999663d7cfe42e733a9b3, 4.300213)
23110179: (4ac518d0f964a52095a620e3, 3.7088711), (4ac518cef964a52021a620e3, 3.659908), (4e175b25183880768f35a7e5, 3.6595125), (4ac518e8f964a52075ab20e3, 3.6299844), (4c513de4250dd13a41a4e17c, 3.6200984), (4ac518eff964a52064ad20e3, 3.6018364), (4ac518f6f964a52052af20e3, 3.5977845), (4ac518d1f964a520c3a620e3, 3.5961723), (4ba6419bf964a520b23f39e3, 3.5820243), (4ac518d3f964a52076a720e3, 3.5734773)
121683168: (4acbc300f964a52058c520e3, 3.0967538), (4ac518f4f964a520fbae20e3, 3.0481737), (4ac518f6f964a52050af20e3, 3.0468407), (4af940dbf964a520331122e3, 3.0441117), (4ac518eff964a52064ad20e3, 3.033697), (506999663d7cfe42e733a9b3, 3.0281062), (4b6016a3f964a52076d529e3, 3.022347), (4ac518cef964a52021a620e3, 3.0160944), (4c513de4250dd13a41a4e17c, 3.0132422), (4e805fb2dab41c952c505ffc, 3.0031354)
35528090: (4af47862f964a520d6f221e3, 3.7423654), (4ac518f4f964a520fbae20e3, 3.7146764), (4ac518cef964a520f8a520e3, 3.69391), (506999663d7cfe42e733a9b3, 3.66696), (4acbc300f964a52058c520e3, 3.6576138), (4ac518d2f964a5203da720e3, 3.6381507), (4ac518d2f964a52026a720e3, 3.6298616), (4ba6419bf964a520b23f39e3, 3.6192415), (4acf10dbf964a5205cd220e3, 3.615536), (4ac518f7f964a520c6af20e3, 3.6065705)
21686958: (4ac518f6f964a52052af20e3, 3.7703285), (4ac518d1f964a520c3a620e3, 3.7054117), (4c9c6a059c48236a1cb14dee, 3.6900618), (4ac518d3f964a52076a720e3, 3.683783), (4b0bf426f964a5200e3523e3, 3.674988), (4ac518d0f964a52095a620e3, 3.6126246), (4d5ed23c149637047e12cf94, 3.5977755), (4ba6419bf964a520b23f39e3, 3.594785), (4ad42aa6f964a5205de720e3, 3.5923827), (4ac518cef964a52021a620e3, 3.5902703)
1469238920: (4ac518cef964a52021a620e3, 5.271501), (4b1c0375f964a520b30024e3, 5.236176), (4c9c6a059c48236a1cb14dee, 5.2156086), (4ac518eff964a52064ad20e3, 5.203332), (4af47862f964a520d6f221e3, 5.176435), (4bcc08273740b7139c756365, 5.1762223), (4ac518cef964a520f8a520e3, 5.1756864), (4ac518d2f964a52026a720e3, 5.1736417), (4ac518f7f964a520c6af20e3, 5.149654), (4c6ce8d923c1a1cd4bdf1acf, 5.140057)
36435074: (4ac518f6f964a52052af20e3, 4.993889), (4acbc300f964a52058c520e3, 4.9808497), (4ba6419bf964a520b23f39e3, 4.9763002), (4ac518f4f964a520fbae20e3, 4.9403367), (4c9c6a059c48236a1cb14dee, 4.9348164), (4b6016a3f964a52076d529e3, 4.899204), (4ad42aa6f964a5205de720e3, 4.8927712), (4ac518d3f964a52076a720e3, 4.886112), (4ae811e5f964a5200cae21e3, 4.8605084), (4ac518cef964a52021a620e3, 4.8576784)
