# userId: recommendations in (itemId, ranking score) pairs, where a correct recommendation is denoted by symbol *.
8493742: (4bc0d7c84cdfc9b658969321, 4.543384), (4ac518d1f964a520c3a620e3, 4.4783554), (4ad42aa6f964a5205de720e3, 4.3956766), (4ac518cef964a52021a620e3, 4.373972), (4c9c6a059c48236a1cb14dee, 4.3617744), (4c52b7a4b6dabe9a24d2bb13, 4.330433), (4ac518d2f964a5203da720e3, 4.323961), (4d5ed23c149637047e12cf94, 4.3115306), (505b0a96e4b0597d277e6444, 4.296306), (4ad36684f964a5202ce420e3, 4.2932754)
162511952: (4ac518cef964a52021a620e3, 4.3505034), (4ac518d1f964a520c3a620e3, 4.3199987), (4af47862f964a520d6f221e3, 4.307282), (4ac518d3f964a52076a720e3, 4.278984), (4b114284f964a520657923e3, 4.275731), (4ac518ecf964a52075ac20e3, 4.269699), (4ac518f7f964a520c6af20e3, 4.2682333), (4c9c6a059c48236a1cb14dee, 4.2625175), (4acbc300f964a52058c520e3, 4.261198), (4ac518f6f964a52050af20e3, 4.25333)
18319254: (4ac518cef964a520f8a520e3, 5.714842), (4c9c6a059c48236a1cb14dee, 5.7062917), (4b114284f964a520657923e3, 5.675794), (4ac518f4f964a520fbae20e3, 5.6746416), (4bcc08273740b7139c756365, 5.6705513), (4ac518cef964a52021a620e3, 5.6656003), (4ac518d1f964a520c3a620e3, 5.6278596), (4c6ce8d923c1a1cd4bdf1acf, 5.6262074), (4ac518d2f964a52026a720e3, 5.6215363), (4ac518f6f964a52052af20e3, 5.621215)
376938788: (4b114284f964a520657923e3, 4.4527645), (4ac518d1f964a520c3a620e3, 4.362931), (4bcc08273740b7139c756365, 4.3512716), (4c6ce8d923c1a1cd4bdf1acf, 4.344622), (4ac518cef964a520f8a520e3, 4.3421183), (4f634969e4b0ce431bfee234, 4.305246), (4c9c6a059c48236a1cb14dee, 4.30277), (4ac518eff964a52064ad20e3, 4.286539), (4ac518cef964a52021a620e3, 4.2719355), (4ac518d2f964a52026a720e3, 4.2714567)
138078717: (4ac518d3f964a52076a720e3, 4.756949), (4ac518f4f964a520fbae20e3, 4.75135), (4ac518cef964a52021a620e3, 4.738896), (4b114284f964a520657923e3, 4.735602), (4c6ce8d923c1a1cd4bdf1acf, 4.734628), (4ac518d1f964a520c3a620e3, 4.7327013), (4c9c6a059c48236a1cb14dee, 4.727048), (4ac518d0f964a52095a620e3, 4.7102346), (4af47862f964a520d6f221e3, 4.707522), (4ac518cef964a520f8a520e3, 4.702881)
20643835: (4ac518d3f964a52076a720e3, 4.1533794), (4ac518f6f964a52050af20e3, 4.119789), (4ac518cef964a52021a620e3, 4.109133), (4ac518f4f964a520fbae20e3, 4.1014934), (4ac518cef964a520f8a520e3, 4.0906043), (4c9c6a059c48236a1cb14dee, 4.0832767), (4ac518d1f964a520c3a620e3, 4.081246), (4c6ce8d923c1a1cd4bdf1acf, 4.0592337), (4ac518f6f964a52052af20e3, 4.0553217), (4c52b7a4b6dabe9a24d2bb13, 4.043704)
95731884: (4c9c6a059c48236a1cb14dee, 4.8345942), (4d5ed23c149637047e12cf94, 4.800786), (4ac518cef964a52021a620e3, 4.7613707), (4ac518d1f964a520c3a620e3, 4.7365937), (4ac518d3f964a52076a720e3, 4.71585), (4ad42aa6f964a5205de720e3, 4.7019067), (4bcc08273740b7139c756365, 4.69888), (4af47862f964a520d6f221e3, 4.675829), (4ac518f6f964a52052af20e3, 4.6752806), (4c6ce8d923c1a1cd4bdf1acf, 4.6713023)
23110179: (4c6ce8d923c1a1cd4bdf1acf, 4.4388657), (4ac518f6f964a52052af20e3, 4.4132314), (4ac518cef964a52021a620e3, 4.402671), (4c9c6a059c48236a1cb14dee, 4.370591), (4bcc08273740b7139c756365, 4.361229), (4ac518d2f964a52026a720e3, 4.3264914), (4ac518eff964a52064ad20e3, 4.2953863), (4d5ed23c149637047e12cf94, 4.2920775), (4af47862f964a520d6f221e3, 4.2831964), (4ba6419bf964a520b23f39e3, 4.2654862)
19592747: (4ac518f6f964a52052af20e3, 4.8861566), (4c6ce8d923c1a1cd4bdf1acf, 4.8742604), (4ac518cef964a52021a620e3, 4.864416), (4ac518eff964a52064ad20e3, 4.8605223), (4ac518cef964a520f8a520e3, 4.8603168), (4ac518f4f964a520fbae20e3, 4.8398337), (4ac518f7f964a520c6af20e3, 4.832931), (4ac518f6f964a52050af20e3, 4.8306036), (4ac518d3f964a52076a720e3, 4.82812), (4bcc08273740b7139c756365, 4.8195767)
35528090: (4c9c6a059c48236a1cb14dee*, 4.488861), (4d5ed23c149637047e12cf94, 4.426213), (4bcc08273740b7139c756365, 4.3907394), (4ad42aa6f964a5205de720e3, 4.3628597), (4ac518cef964a52021a620e3, 4.3503695), (4b7e5255f964a52076e92fe3, 4.3445015), (4c52b7a4b6dabe9a24d2bb13, 4.343034), (4ac518d1f964a520c3a620e3, 4.340408), (4ac518d3f964a52076a720e3, 4.328779), (518b9f51498e94d9adcac6c1, 4.323522)
21686958: (4ac518f6f964a52052af20e3, 5.6038504), (4ac518cef964a52021a620e3, 5.53736), (4c9c6a059c48236a1cb14dee, 5.5273223), (4b1c0375f964a520b30024e3, 5.504574), (4ac518eff964a52064ad20e3, 5.475975), (4d5ed23c149637047e12cf94, 5.464132), (4ac518d2f964a52026a720e3, 5.4524026), (4c6ce8d923c1a1cd4bdf1acf, 5.4473815), (4ac518cef964a520f8a520e3, 5.439339), (4ac518d2f964a5203da720e3, 5.4223385)
