# userId: recommendations in (itemId, ranking score) pairs, where a correct recommendation is denoted by symbol *.
8493742: (4ae811e5f964a5200cae21e3, 4.462226), (4ac518eff964a52064ad20e3, 4.4498277), (4ac518cef964a52021a620e3, 4.4083424), (4ac518f6f964a52052af20e3, 4.390713), (4b114284f964a520657923e3, 4.375991), (4c9c6a059c48236a1cb14dee, 4.37431), (4ac518cef964a520f8a520e3, 4.364151), (4ba6419bf964a520b23f39e3, 4.334694), (4acbc300f964a52058c520e3, 4.3164983), (4b8146dbf964a520439d30e3, 4.312563)
28777828: (4b114284f964a520657923e3, 3.395112), (52d71ac611d2dae852a0be1f, 3.3823864), (4ac518cef964a52022a620e3, 3.3724892), (4ac518cef964a52021a620e3, 3.3649879), (4ac518cef964a520f8a520e3, 3.3277497), (4ac518eff964a52064ad20e3, 3.322177), (4ac518d1f964a520e0a620e3, 3.3183463), (4af47862f964a520d6f221e3, 3.3126254), (4ac518d2f964a5203da720e3, 3.3112984), (4e175b25183880768f35a7e5, 3.3068652)
162511952: (4c9c6a059c48236a1cb14dee, 5.219158), (4ac518d1f964a520c3a620e3, 5.2040405), (4ac518d2f964a5203da720e3, 5.187365), (4ac518f4f964a520fbae20e3, 5.1468005), (4b1c0375f964a520b30024e3, 5.1268415), (4af47862f964a520d6f221e3, 5.1265073), (4ac518eff964a52064ad20e3, 5.119418), (4ac518cef964a520f8a520e3, 5.1156216), (4ac518d2f964a52026a720e3, 5.1106033), (4acbc300f964a52058c520e3, 5.1073112)
18816105: (4ac518cef964a52021a620e3, 4.4743667), (4ac518f7f964a520c6af20e3, 4.46556), (4ac518d0f964a52095a620e3, 4.4298506), (4ac518d2f964a5203da720e3, 4.428363), (4c9c6a059c48236a1cb14dee, 4.4194694), (4d5ed23c149637047e12cf94, 4.419219), (4ac518cef964a520f8a520e3, 4.417817), (4ac518d3f964a52076a720e3, 4.415496), (4bc0d7c84cdfc9b658969321, 4.401977), (4b1c0375f964a520b30024e3, 4.3953347)
376938788: (4bcc08273740b7139c756365, 5.022311), (4ac518cef964a52021a620e3, 4.991637), (4ac518f7f964a520c6af20e3, 4.9905524), (4c6ce8d923c1a1cd4bdf1acf, 4.9894443), (4e175b25183880768f35a7e5, 4.975432), (4ac518f6f964a52052af20e3, 4.972278), (4b114284f964a520657923e3, 4.96609), (4c9c6a059c48236a1cb14dee, 4.9392757), (4d5ed23c149637047e12cf94, 4.9280977), (4ac518f4f964a520fbae20e3, 4.9151692)
138078717: (4ac518d2f964a5203da720e3, 5.367807), (4ac518d1f964a520c3a620e3, 5.353603), (4c9c6a059c48236a1cb14dee, 5.2931786), (4ac518d0f964a52097a620e3, 5.285901), (4d64f88cd2906a310083e2cb, 5.2821875), (4af47862f964a520d6f221e3, 5.2543764), (4af9a82df964a520fd1222e3, 5.2541704), (4b1c0375f964a520b30024e3, 5.2453713), (4ae811e5f964a5200cae21e3, 5.244819), (4ac518cef964a52021a620e3, 5.242764)
133443490: (4ac518cef964a52021a620e3, 3.6966703), (4ac518cef964a520f8a520e3, 3.6840222), (4ac518eff964a52064ad20e3*, 3.6636016), (4b1c0375f964a520b30024e3, 3.6544335), (4ba6419bf964a520b23f39e3, 3.6503234), (4bc0d7c84cdfc9b658969321, 3.6487134), (4ac518d2f964a52026a720e3, 3.6431298), (4b114284f964a520657923e3, 3.630479), (4c9c6a059c48236a1cb14dee, 3.6249185), (4ac518d2f964a5203da720e3, 3.6179755)
121683168: (4b1c0375f964a520b30024e3, 3.84542), (4ac518d0f964a52095a620e3, 3.8371768), (4ac518d2f964a5203da720e3, 3.806664), (4ac518d1f964a520c3a620e3, 3.7921028), (4d5ed23c149637047e12cf94, 3.7837033), (4c9c6a059c48236a1cb14dee, 3.780995), (4ae2252ef964a5202c8b21e3, 3.743551), (50f5c2e0e4b06983cbcbb1fe, 3.73763), (4bcc08273740b7139c756365, 3.722999), (4af47862f964a520d6f221e3, 3.7184541)
35528090: (4b1c0375f964a520b30024e3, 4.0591884), (4ac518d1f964a520c3a620e3, 4.051658), (4ac518eff964a52064ad20e3, 4.039864), (4ac518d2f964a5203da720e3, 4.0092034), (4af47862f964a520d6f221e3, 3.9971218), (4ac518f4f964a520fbae20e3, 3.990344), (4ac518cef964a520f8a520e3, 3.986533), (505b0a96e4b0597d277e6444, 3.9548912), (506999663d7cfe42e733a9b3, 3.949313), (4acbc300f964a52058c520e3, 3.9378207)
21686958: (4c9c6a059c48236a1cb14dee, 4.599231), (4ac518f4f964a520fbae20e3, 4.59526), (4ac518d1f964a520c3a620e3, 4.5918484), (4ae2252ef964a5202c8b21e3, 4.5296607), (4ac518d2f964a52026a720e3, 4.4993715), (4af47862f964a520d6f221e3, 4.4814854), (4ac518d2f964a5203da720e3, 4.4777), (4ac518f6f964a52052af20e3, 4.477176), (4d5ed23c149637047e12cf94, 4.4722533), (4acbc300f964a52058c520e3, 4.452336)
1469238920: (4ac518d0f964a52095a620e3, 4.7584033), (4ac518cef964a52021a620e3, 4.685301), (4bcc08273740b7139c756365, 4.6820254), (4c9c6a059c48236a1cb14dee, 4.607871), (4b1c0375f964a520b30024e3, 4.5996585), (4ac518eff964a52064ad20e3, 4.590397), (4ac518d1f964a520c3a620e3, 4.571799), (4ac518d2f964a5203da720e3, 4.5716367), (4ac518f7f964a520c6af20e3, 4.564864), (4ac518f6f964a52050af20e3, 4.5509706)
