# userId: recommendations in (itemId, ranking score) pairs, where a correct recommendation is denoted by symbol *.
8493742: (4ac518d1f964a520c3a620e3, 4.5835905), (4ac518cef964a52021a620e3, 4.582101), (4af47862f964a520d6f221e3, 4.5624614), (4c6ce8d923c1a1cd4bdf1acf, 4.5341043), (4ac518d2f964a5203da720e3, 4.527872), (4c9c6a059c48236a1cb14dee, 4.5214777), (4acbc300f964a52058c520e3, 4.5125055), (4ac518d2f964a52026a720e3, 4.509228), (4ad42aa6f964a5205de720e3, 4.4900904), (4b114284f964a520657923e3, 4.4846663)
162511952: (4ac518cef964a52021a620e3, 4.2647347), (4ac518d1f964a520c3a620e3, 4.2541523), (4af47862f964a520d6f221e3, 4.2315283), (4c9c6a059c48236a1cb14dee, 4.215014), (4ac518cef964a520f8a520e3, 4.171953), (4acbc300f964a52058c520e3, 4.1666083), (4c6ce8d923c1a1cd4bdf1acf, 4.156669), (4b114284f964a520657923e3, 4.140586), (4ac518d3f964a52076a720e3, 4.1346), (4ac518f6f964a52052af20e3, 4.129901)
18319254: (4ac518eff964a52064ad20e3, 5.6092486), (4ac518d1f964a520c3a620e3, 5.598801), (4bcc08273740b7139c756365, 5.5689087), (4af47862f964a520d6f221e3, 5.566585), (4acbc300f964a52058c520e3, 5.5504155), (4b114284f964a520657923e3, 5.514747), (4c9c6a059c48236a1cb14dee, 5.5017586), (4e4b9e2314958c3abfa956c7, 5.4893203), (4d5ed23c149637047e12cf94, 5.4711885), (4b1c0375f964a520b30024e3, 5.4641633)
376938788: (4af9a82df964a520fd1222e3, 4.978564), (4ac518cef964a52021a620e3, 4.9639554), (4bc0d7c84cdfc9b658969321, 4.942948), (4d5ed23c149637047e12cf94, 4.924799), (4ac518f6f964a52052af20e3, 4.922864), (4ac518cef964a520f8a520e3, 4.91744), (4c9c6a059c48236a1cb14dee, 4.896946), (4ac518d2f964a5203da720e3, 4.8809156), (4ac518d3f964a52076a720e3, 4.8742256), (52d71ac611d2dae852a0be1f, 4.8494267)
20735661: (4ac518f6f964a52052af20e3, 4.730487), (4ac518cef964a52021a620e3, 4.680111), (4c9c6a059c48236a1cb14dee, 4.6782613), (4af47862f964a520d6f221e3, 4.6676316), (4ac518f4f964a520fbae20e3, 4.625035), (4c52b7a4b6dabe9a24d2bb13, 4.6140223), (4ac518eff964a52064ad20e3*, 4.6102448), (4ac518d2f964a52026a720e3, 4.5726385), (4bf5197b98ac0f4761ac64a8, 4.5598383), (4acbc300f964a52058c520e3, 4.5564294)
138078717: (4ac518cef964a52021a620e3, 5.0563817), (4b114284f964a520657923e3, 5.042056), (4af47862f964a520d6f221e3, 5.0319796), (4c9c6a059c48236a1cb14dee, 4.987457), (4c6ce8d923c1a1cd4bdf1acf, 4.9688926), (4ac518cef964a520f7a520e3, 4.9524827), (4ac518d2f964a5203da720e3, 4.9239993), (4ac518d1f964a520c3a620e3, 4.9213095), (4ac518d3f964a52076a720e3, 4.907114), (4ac518eff964a52064ad20e3, 4.904525)
139888796: (4ac518cef964a52021a620e3, 5.2193575), (4c9c6a059c48236a1cb14dee, 5.1492743), (4ac518d2f964a5203da720e3, 5.1171746), (4ad42aa6f964a5205de720e3, 5.106998), (4c6ce8d923c1a1cd4bdf1acf, 5.0973554), (4ac518d2f964a52026a720e3, 5.09103), (4af47862f964a520d6f221e3, 5.0766535), (4ac518f4f964a520fbae20e3, 5.069181), (4c52b7a4b6dabe9a24d2bb13, 5.064196), (4b114284f964a520657923e3, 5.041079)
20643835: (4af47862f964a520d6f221e3, 4.9776654), (4ac518cef964a52021a620e3, 4.9660172), (4c9c6a059c48236a1cb14dee, 4.946526), (4ac518f4f964a520fbae20e3, 4.906111), (4c6ce8d923c1a1cd4bdf1acf, 4.9056945), (4ac518d2f964a52026a720e3, 4.8908215), (4ac518f6f964a52052af20e3, 4.88568), (4ac518d2f964a5203da720e3, 4.8372555), (4c52b7a4b6dabe9a24d2bb13, 4.830847), (4ac518d3f964a52076a720e3, 4.800639)
95731884: (4ac518eff964a52064ad20e3, 5.535648), (4ac518cef964a52021a620e3, 5.4854503), (4b1c0375f964a520b30024e3, 5.483097), (4af47862f964a520d6f221e3, 5.4538746), (4ac518d3f964a52076a720e3, 5.445923), (4c9c6a059c48236a1cb14dee, 5.416336), (4ac518d1f964a520c3a620e3, 5.403958), (4ac518d2f964a5203da720e3, 5.402045), (4bcc08273740b7139c756365, 5.37923), (4ac518cef964a520f8a520e3, 5.3754835)
23110179: (4ad42aa6f964a5205de720e3, 4.059916), (4ac518f7f964a520c6af20e3, 4.0538645), (4ac518d2f964a5203da720e3, 4.0512786), (4ba6419bf964a520b23f39e3, 4.0465612), (4b114284f964a520657923e3, 4.0414653), (4d64f88cd2906a310083e2cb, 4.028491), (4ac518d1f964a520c3a620e3, 4.0257573), (4c9c6a059c48236a1cb14dee, 4.022614), (4ac518cef964a52021a620e3, 4.020138), (4ac518d2f964a52026a720e3, 4.0134587)
19592747: (4ac518cef964a52021a620e3, 5.8858805), (4c6ce8d923c1a1cd4bdf1acf, 5.848605), (4af47862f964a520d6f221e3, 5.8444686), (4c9c6a059c48236a1cb14dee, 5.822619), (4ac518d1f964a520c3a620e3, 5.821836), (4ac518eff964a52064ad20e3, 5.8144894), (4ad42aa6f964a5205de720e3, 5.8050756), (4b114284f964a520657923e3, 5.800813), (4ac518d2f964a5203da720e3, 5.786529), (4af9a82df964a520fd1222e3, 5.78147)
